learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,8.258414583,3.887110557184277E-5,100.0,53.0,6.000000000000005,52.52525252525253,6.000000000000005,100.0,1.8194184E7
200.0,16.359245182,7.703960118937443E-5,200.0,61.5,23.0,61.30653266331658,23.0,200.0,1.8212848E7
300.0,24.340285201,1.1466503957458305E-4,300.0,67.66666666666666,35.33333333333333,67.55852842809364,35.33333333333333,300.0,1.8223192E7
400.0,32.404479111,1.5270772956811978E-4,400.0,67.5,35.00000000000001,67.41854636591479,35.00000000000001,400.0,1.8235288E7
500.0,40.501223715,1.9093296660551267E-4,500.0,67.0,34.00000000000001,66.93386773547094,34.00000000000001,500.0,1.8249128E7
600.0,48.708240446,2.2969694553102304E-4,600.0,66.0,32.00000000000001,65.9432387312187,32.00000000000001,600.0,1.8257672E7
700.0,56.979501502,2.687793463976555E-4,700.0,66.85714285714286,33.71428571428572,66.80972818311875,33.71428571428572,700.0,1.8264672E7
800.0,65.319507255,3.082173127047184E-4,800.0,67.875,35.74999999999999,67.83479349186483,35.74999999999999,800.0,1.827892E7
900.0,73.717705724,3.4794523277825897E-4,900.0,68.55555555555556,37.111111111111114,68.52057842046719,37.111111111111114,900.0,1.828572E7
1000.0,82.147534873,3.8784581197369385E-4,1000.0,69.6,39.19999999999999,69.56956956956957,39.19999999999999,1000.0,1.829628E7
1100.0,90.67156349,4.2820480483098794E-4,1100.0,71.18181818181817,42.36363636363636,71.15559599636032,42.36363636363636,1100.0,1.8301968E7
1200.0,99.183848131,4.6851976752379157E-4,1200.0,71.83333333333334,43.66666666666668,71.80984153461219,43.66666666666668,1200.0,1.8307224E7
1300.0,107.747024907,5.090907531971621E-4,1300.0,72.76923076923076,45.538461538461526,72.74826789838336,45.538461538461526,1300.0,1.8313992E7
