learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.703710785,5.658129022611925E-8,100.0,100.0,?,?,?,100.0,310800.0
200.0,1.104865022,9.10400321995529E-8,200.0,98.5,65.9863945578232,25.0,50.0,200.0,332040.0
300.0,1.492043389,1.24318293783079E-7,300.0,98.0,48.97959183673481,-50.00000000000042,0.0,300.0,332240.0
400.0,1.703031835,1.4245508712624302E-7,400.0,97.75,38.90020366598787,-124.99999999999945,-49.99999999999963,400.0,332280.0
500.0,1.970336234,1.654273281050432E-7,500.0,96.39999999999999,23.36512261580396,-200.0,-125.0,500.0,332200.0
600.0,2.127323131,1.7892956304065054E-7,600.0,96.33333333333334,29.637526652452102,-175.0000000000002,-119.99999999999906,600.0,332464.0
700.0,2.312004784,1.948565956713549E-7,700.0,95.42857142857143,36.14595210946415,-166.66666666666688,-45.45454545454523,700.0,333360.0
800.0,2.442726207,2.0614468194092727E-7,800.0,94.75,79.55209347614411,-223.0769230769233,65.57377049180327,800.0,333792.0
900.0,2.568078123,2.1697247188933608E-7,900.0,93.88888888888889,82.09868506704856,-96.42857142857159,72.636815920398,900.0,333896.0
1000.0,2.703440097,2.2866576241674937E-7,1000.0,93.30000000000001,82.25297196499334,-4.687500000000008,73.92996108949418,1000.0,333920.0
1100.0,2.82664766,2.393129148494349E-7,1100.0,88.27272727272727,70.1514514093395,-34.37500000000003,60.30769230769229,1100.0,334040.0
1200.0,2.95376729,2.502994494151221E-7,1200.0,86.58333333333333,65.73447409866769,-37.60683760683755,55.1532033426184,1200.0,334080.0
1300.0,3.106642652,2.635157645038412E-7,1300.0,83.61538461538461,59.088813767670544,-70.40000000000003,49.164677804295934,1300.0,334176.0
1400.0,3.228228195,2.740315550233941E-7,1400.0,82.14285714285714,56.952534634760696,-72.41379310344837,47.698744769874466,1400.0,334320.0
1500.0,3.352973731,2.848209077925835E-7,1500.0,79.80000000000001,52.04886900742742,-69.27374301675981,43.36448598130843,1500.0,334328.0
1600.0,3.458756192,2.939699083486675E-7,1600.0,78.1875,49.04347000828591,-56.502242152466344,41.24579124579124,1600.0,334320.0
1700.0,3.563579632,3.03037049023093E-7,1700.0,77.64705882352942,48.80289113085379,-58.33333333333326,41.80704441041348,1700.0,334360.0
1800.0,3.668841731,3.1214147978429783E-7,1800.0,78.0,50.13989927252378,-39.43661971830983,43.42857142857143,1800.0,334336.0
1900.0,3.773641562,3.212050600394834E-7,1900.0,78.57894736842105,52.70371104309937,-34.76821192052984,47.00520833333332,1900.0,334304.0
2000.0,3.889430772,3.312185739875481E-7,2000.0,79.35,54.51702142655764,-23.652694610778425,48.886138613861384,2000.0,334288.0
2100.0,4.012576775,3.4186703308293804E-7,2100.0,80.0952380952381,57.2037021869113,-12.668463611859845,52.6077097505669,2100.0,334248.0
2200.0,4.12982407,3.5200348849223925E-7,2200.0,80.68181818181817,59.2233687166918,-6.783919597989978,55.49738219895287,2200.0,334184.0
2300.0,4.242352626,3.617326904089604E-7,2300.0,81.04347826086956,60.342161565749045,-7.125307125307133,57.04433497536945,2300.0,334208.0
2400.0,4.343944771,3.7051549086348255E-7,2400.0,81.625,61.76024279210925,-2.32018561484918,58.70786516853933,2400.0,334176.0
2500.0,4.444952564,3.792471460311404E-7,2500.0,82.16,62.994480037596276,2.8322440087145875,60.10733452593918,2500.0,334152.0
2600.0,4.55356349,3.8863628156036547E-7,2600.0,82.61538461538461,64.57765667574932,1.525054466230919,62.88998357963875,2600.0,334160.0
2700.0,4.65979517,3.9781973738521745E-7,2700.0,83.03703703703704,65.8727372680969,0.2178649237473325,65.25037936267071,2700.0,334160.0
2800.0,4.769436444,4.072965823668117E-7,2800.0,83.32142857142857,66.73298360055156,-1.7429193899782345,66.20839363241679,2800.0,334112.0
2900.0,4.914299702,4.198169405760781E-7,2900.0,83.79310344827586,67.84412682295255,-2.396514161220056,65.99131693198264,2900.0,334088.0
3000.0,5.015957492,4.286033122284875E-7,3000.0,84.23333333333333,68.7956026209055,-3.0501089324618276,65.77424023154849,3000.0,334096.0
3100.0,5.123250004,4.3787514345649206E-7,3100.0,84.74193548387096,69.80272403606786,-3.0501089324618738,65.77424023154848,3100.0,334040.0
3200.0,5.223913505,4.465741195051847E-7,3200.0,85.125,70.50887676613723,-2.807775377969818,65.70605187319883,3200.0,334040.0
3300.0,5.342203573,4.5679583015978946E-7,3300.0,85.15151515151516,70.50892082347411,-3.59408033826637,65.51724137931035,3300.0,334024.0
3400.0,5.445544239,4.657244461394369E-7,3400.0,85.41176470588235,70.91419861062867,-3.9832285115304162,65.24176594253679,3400.0,333976.0
3500.0,5.550008852,4.7474973854774803E-7,3500.0,85.54285714285714,71.14334279688302,-4.115226337448528,65.625,3500.0,333960.0
3600.0,5.652389765,4.835954320313056E-7,3600.0,85.61111111111111,71.23487355098453,-5.070993914807285,65.80858085808582,3600.0,333976.0
