learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.608626319,1.0516538258499153E-8,100.0,59.0,28.670842032011123,37.878787878787875,-24.242424242424267,100.0,66792.0
200.0,0.757757253,1.3100182401316445E-8,200.0,66.5,37.916975537435135,49.62406015037594,0.0,200.0,66968.0
300.0,0.867861522,1.5008386088847696E-8,300.0,77.0,54.505494505494525,65.5,31.00000000000001,300.0,66992.0
400.0,0.97215435,1.6822779440670787E-8,400.0,71.25,39.24344885883349,56.76691729323308,13.533834586466176,400.0,67248.0
500.0,1.069369611,1.8514446005860544E-8,500.0,70.0,32.9734753699864,54.81927710843373,9.638554216867448,500.0,67264.0
600.0,1.164412819,2.0169102952718313E-8,600.0,69.33333333333334,28.865979381443303,53.88471177944862,8.000000000000016,600.0,67296.0
700.0,1.247918568,2.162531777363063E-8,700.0,68.57142857142857,25.08270091457482,52.68817204301075,5.982905982905988,700.0,67408.0
800.0,1.326272744,2.2992994198080975E-8,800.0,68.125,22.140970642565993,52.06766917293233,4.494382022471914,800.0,67472.0
900.0,1.406674227,2.4396739276848314E-8,900.0,67.0,18.6301369863014,50.334448160535125,1.0000000000000229,900.0,67488.0
1000.0,1.488790324,2.5830929977678586E-8,1000.0,66.5,16.208104052026005,49.548192771084345,-0.6006006006006012,1000.0,67512.0
1100.0,1.569415307,2.7239244633979264E-8,1100.0,66.54545454545455,15.386030333940887,49.58904109589041,-0.5464480874316975,1100.0,67520.0
1200.0,1.646951677,2.859425090715289E-8,1200.0,66.83333333333333,15.796897038081797,50.062735257214555,0.5000000000000114,1200.0,67552.0
1300.0,1.724872986,2.995695187665108E-8,1300.0,66.61538461538463,15.03293565574635,49.768518518518526,-0.2309468822170826,1300.0,67600.0
1400.0,1.799585979,3.126400915514884E-8,1400.0,66.78571428571428,15.076470311986325,50.05370569280343,0.4282655246252396,1400.0,67624.0
1500.0,1.87675281,3.2614154506029764E-8,1500.0,67.4,16.31488876212211,51.00200400801603,2.2000000000000237,1500.0,67632.0
