learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.744180355,1.1619582503748436E-7,100.0,46.0,7.407407407407401,19.40298507462687,-63.63636363636365,100.0,603552.0
200.0,1.203360288,1.8795744615968937E-7,200.0,54.0,17.52577319587629,31.34328358208956,-39.3939393939394,200.0,604104.0
300.0,1.491559276,2.3303000858559582E-7,300.0,60.333333333333336,25.15723270440253,40.50000000000001,-20.2020202020202,300.0,604536.0
400.0,1.691636228,2.64400325955643E-7,400.0,54.25,9.803341712257877,31.203007518796984,-10.909090909090919,400.0,606072.0
500.0,1.8750329,2.9315835768033436E-7,500.0,51.6,3.541078745555716,27.32732732732733,-4.310344827586212,500.0,606136.0
600.0,2.104895438,3.2920402757760755E-7,600.0,51.5,3.0000000000000027,27.06766917293233,2.6755852842809316,600.0,606160.0
700.0,2.32485464,3.636980811772309E-7,700.0,51.57142857142857,3.432952436761398,27.096774193548384,-2.108433734939761,700.0,606184.0
800.0,2.524879531,3.9506603145472287E-7,800.0,54.125,8.626913979833184,31.015037593984957,-0.5479452054794404,800.0,606184.0
900.0,2.694598857,4.216821584317336E-7,900.0,55.666666666666664,11.703958691910502,33.27759197324415,-0.25125628140704936,900.0,606200.0
1000.0,2.860558844,4.477114771990664E-7,1000.0,53.2,6.577875724620321,29.51807228915663,-0.8620689655172422,1000.0,606264.0
1100.0,3.119605846,4.883406500055206E-7,1100.0,52.090909090909086,4.224877410486515,27.90697674418604,0.7532956685499106,1100.0,606264.0
1200.0,3.33104006,5.215021888439543E-7,1200.0,53.083333333333336,6.166666666666676,29.360100376411552,5.85284280936455,1200.0,606264.0
1300.0,3.472681477,5.437176536088044E-7,1300.0,52.07692307692307,4.14295588611248,27.809965237543455,1.2678288431061853,1300.0,606272.0
1400.0,3.610547706,5.653410065622152E-7,1400.0,52.42857142857142,4.77377132223926,28.387096774193544,-0.30120481927711207,1400.0,606272.0
1500.0,3.750798202,5.873388956311366E-7,1500.0,52.93333333333333,5.682223013893841,29.116465863453815,-1.2912482065997142,1500.0,606288.0
