learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.345900158,4.751991167672807E-9,100.0,87.0,74.0,86.86868686868688,74.0,100.0,53104.0
200.0,0.456784623,6.275326691307128E-9,200.0,84.5,69.0,84.42211055276381,69.0,200.0,53104.0
300.0,0.498666028,6.8506952248182565E-9,300.0,81.0,62.000000000000014,80.93645484949833,62.000000000000014,300.0,53104.0
400.0,0.537978435,7.390770753907661E-9,400.0,79.5,59.00000000000001,79.4486215538847,59.00000000000001,400.0,53104.0
500.0,0.575216223,7.902345078426103E-9,500.0,78.60000000000001,57.2,78.55711422845691,57.2,500.0,53104.0
600.0,0.620190639,8.520205529369414E-9,600.0,78.16666666666666,56.33333333333332,78.13021702838063,56.33333333333332,600.0,53104.0
700.0,0.659958107,9.066532705943618E-9,700.0,77.71428571428571,55.42857142857143,77.6824034334764,55.42857142857143,700.0,53104.0
800.0,0.698316593,9.59350322752777E-9,800.0,77.375,54.75000000000001,77.34668335419275,54.75000000000001,800.0,53104.0
900.0,0.734568509,1.0091533600336147E-8,900.0,76.33333333333333,52.666666666666664,76.30700778642935,52.666666666666664,900.0,53104.0
1000.0,0.76919566,1.0567242882069614E-8,1000.0,74.5,49.0,74.47447447447448,49.0,1000.0,53104.0
1100.0,0.799966455,1.098997338010619E-8,1100.0,73.45454545454545,46.9090909090909,73.43039126478617,46.9090909090909,1100.0,53104.0
1200.0,0.828112555,1.1376645705952411E-8,1200.0,72.58333333333333,45.166666666666664,72.5604670558799,45.166666666666664,1200.0,53104.0
1300.0,0.85645762,1.1766051421480045E-8,1300.0,72.0,43.99999999999999,71.97844495765973,43.99999999999999,1300.0,53104.0
1400.0,0.884471106,1.2150901890521247E-8,1400.0,70.85714285714285,41.7142857142857,70.8363116511794,41.7142857142857,1400.0,53104.0
1500.0,0.911684224,1.2524756869739955E-8,1500.0,70.46666666666667,40.93333333333333,70.4469646430954,40.93333333333333,1500.0,53104.0
1600.0,0.940420129,1.2919531961907114E-8,1600.0,70.0,39.99999999999999,69.98123827392119,39.99999999999999,1600.0,53104.0
1700.0,0.96859091,1.330654335638715E-8,1700.0,70.11764705882354,40.23529411764706,70.10005885815185,40.23529411764706,1700.0,53104.0
1800.0,1.010922527,1.3888096921613645E-8,1800.0,70.55555555555556,41.11111111111112,70.53918843802113,41.11111111111112,1800.0,53104.0
1900.0,1.044157496,1.434468034747574E-8,1900.0,71.15789473684211,42.31578947368422,71.14270668773038,42.31578947368422,1900.0,53104.0
2000.0,1.075965304,1.4781657374468114E-8,2000.0,71.7,43.39999999999999,71.68584292146073,43.39999999999999,2000.0,53104.0
2100.0,1.107023447,1.520833547162099E-8,2100.0,72.38095238095238,44.76190476190476,72.36779418770844,44.76190476190476,2100.0,53104.0
2200.0,1.140081731,1.5662491591394777E-8,2200.0,72.95454545454545,45.9090909090909,72.94224647567076,45.9090909090909,2200.0,53104.0
2300.0,1.17062071,1.6082037391306626E-8,2300.0,73.21739130434783,46.43478260869565,73.20574162679425,46.43478260869565,2300.0,53104.0
2400.0,1.199298993,1.6476020869972808E-8,2400.0,72.29166666666667,44.58333333333333,72.28011671529804,44.58333333333333,2400.0,53104.0
2500.0,1.224881464,1.6827473950948982E-8,2500.0,71.39999999999999,42.8,71.38855542216886,42.8,2500.0,53104.0
2600.0,1.249883427,1.717095198818793E-8,2600.0,71.34615384615385,42.69230769230769,71.33512889572913,42.69230769230769,2600.0,53104.0
2700.0,1.275379559,1.7521218940288656E-8,2700.0,70.85185185185185,41.70370370370371,70.84105224157096,41.70370370370371,2700.0,53104.0
2800.0,1.300990509,1.7873063266985117E-8,2800.0,70.25,40.5,70.23937120400143,40.5,2800.0,53104.0
2900.0,1.325499773,1.8209772584285172E-8,2900.0,69.6551724137931,39.3103448275862,69.64470507071402,39.3103448275862,2900.0,53104.0
3000.0,1.349668813,1.8541807889718977E-8,3000.0,69.0,37.999999999999986,68.98966322107368,37.999999999999986,3000.0,53104.0
3100.0,1.373773488,1.8872958946029347E-8,3100.0,69.09677419354838,38.19354838709677,69.08680219425621,38.19354838709677,3100.0,53104.0
3200.0,1.397948894,1.920508170784348E-8,3200.0,68.8125,37.625,68.80275085964364,37.625,3200.0,53104.0
3300.0,1.422174614,1.9537895685541962E-8,3300.0,68.48484848484848,36.96969696969696,68.47529554410427,36.96969696969696,3300.0,53104.0
3400.0,1.4456311,1.9860141893641818E-8,3400.0,68.44117647058823,36.88235294117648,68.43189173286261,36.88235294117648,3400.0,53104.0
3500.0,1.469378583,2.018638583097607E-8,3500.0,68.94285714285714,37.88571428571428,68.93398113746785,37.88571428571428,3500.0,53104.0
3600.0,1.492487349,2.0503855046841008E-8,3600.0,69.52777777777777,39.05555555555556,69.51931091969992,39.05555555555556,3600.0,53104.0
3700.0,1.515483296,2.0819774350457723E-8,3700.0,69.37837837837839,38.27169583279097,68.53651763399056,37.61013215859031,3700.0,53104.0
3800.0,1.53839606,2.1134550882462E-8,3800.0,67.71052631578948,35.659167181842285,65.92613163010274,34.87261146496816,3800.0,53104.0
3900.0,1.561693436,2.1454611230575376E-8,3900.0,66.38461538461539,33.23839672915281,63.6237513873474,31.683168316831683,3900.0,53104.0
4000.0,1.585739514,2.1784957278793055E-8,4000.0,66.95,34.60950323749734,63.33887964503605,32.17034376603385,4000.0,53104.0
4100.0,1.60895436,2.210388382623593E-8,4100.0,67.53658536585367,35.08694882609094,63.089295618413765,35.041483650561254,4100.0,53104.0
4200.0,1.634532777,2.245528121318668E-8,4200.0,66.26190476190476,33.036015673312434,60.71527585250901,31.313620940378094,4200.0,53104.0
4300.0,1.658959972,2.279086306305395E-8,4300.0,65.4186046511628,31.53323744852759,58.786031042128606,29.224178962398867,4300.0,53104.0
4400.0,1.683197775,2.3123843037523327E-8,4400.0,64.54545454545455,29.882598299203543,56.774729842061525,27.272727272727288,4400.0,53104.0
4500.0,1.707588098,2.345891833827727E-8,4500.0,63.288888888888884,28.13386242690612,54.22554724300359,22.983682983682975,4500.0,53104.0
4600.0,1.740590167,2.3912302173976266E-8,4600.0,62.32608695652174,26.676323216521464,52.06085753803597,19.990766389658365,4600.0,53104.0
