learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,5.8705818,2.7632959209594876E-5,100.0,53.0,6.000000000000005,52.52525252525253,6.000000000000005,100.0,1.8194856E7
200.0,11.762426722,5.539408671984888E-5,200.0,58.5,16.999999999999993,58.291457286432156,16.999999999999993,200.0,1.821328E7
300.0,17.83010397,8.399998630882439E-5,300.0,63.33333333333333,26.66666666666666,63.21070234113713,26.66666666666666,300.0,1.8223656E7
400.0,23.560706218,1.110346636968505E-4,400.0,64.75,29.499999999999993,64.66165413533834,29.499999999999993,400.0,1.8235736E7
500.0,29.407570682,1.386387778957263E-4,500.0,65.4,30.800000000000004,65.33066132264528,30.800000000000004,500.0,1.8249592E7
600.0,35.556120163,1.6768076704598567E-4,600.0,65.0,30.000000000000004,64.9415692821369,30.000000000000004,600.0,1.825812E7
700.0,42.019917596,1.982233663589577E-4,700.0,65.57142857142857,31.14285714285714,65.52217453505007,31.14285714285714,700.0,1.826504E7
800.0,48.433969912,2.285544734370571E-4,800.0,65.25,30.499999999999993,65.20650813516896,30.499999999999993,800.0,1.827924E7
900.0,55.171364379,2.6042647002920286E-4,900.0,64.44444444444444,28.888888888888896,64.40489432703004,28.888888888888896,900.0,1.828604E7
1000.0,61.828692596,2.9193813931190744E-4,1000.0,65.0,30.000000000000004,64.96496496496496,30.000000000000004,1000.0,1.8296744E7
1100.0,68.486931052,3.234637768321902E-4,1100.0,65.54545454545455,31.09090909090908,65.51410373066425,31.09090909090908,1100.0,1.8302256E7
1200.0,75.554326839,3.5693640291009274E-4,1200.0,65.5,31.000000000000007,65.47122602168474,31.000000000000007,1200.0,1.8307656E7
1300.0,82.570700437,3.901795171697791E-4,1300.0,65.3076923076923,30.61538461538462,65.28098537336413,30.61538461538462,1300.0,1.8314344E7
1400.0,89.520999807,4.231163943011311E-4,1400.0,65.57142857142857,31.14285714285714,65.54681915654038,31.14285714285714,1400.0,1.8318136E7
1500.0,97.006177188,4.5859636264606576E-4,1500.0,65.53333333333333,31.066666666666663,65.51034022681787,31.066666666666663,1500.0,1.8322448E7
1600.0,104.205756396,4.927286215860093E-4,1600.0,65.6875,31.374999999999996,65.66604127579737,31.374999999999996,1600.0,1.8325688E7
1700.0,111.238417895,5.260765464783173E-4,1700.0,65.88235294117646,31.76470588235294,65.86227192466157,31.76470588235294,1700.0,1.8329536E7
1800.0,118.140848955,5.588129218760874E-4,1800.0,65.83333333333333,31.666666666666664,65.81434130072262,31.666666666666664,1800.0,1.8332888E7
1900.0,125.223722818,5.924118027024641E-4,1900.0,66.0,32.00000000000001,65.98209583991574,32.00000000000001,1900.0,1.8336552E7
2000.0,132.340168282,6.26176593594185E-4,2000.0,66.10000000000001,32.2,66.08304152076039,32.2,2000.0,1.8340168E7
2100.0,139.393689239,6.596488755277169E-4,2100.0,65.9047619047619,31.8095238095238,65.88851834206764,31.8095238095238,2100.0,1.834348E7
2200.0,146.543273621,6.935836378755375E-4,2200.0,66.18181818181819,32.363636363636374,66.16643929058664,32.363636363636374,2200.0,1.8347056E7
2300.0,154.707302657,7.323399970413843E-4,2300.0,66.0,32.00000000000001,65.98521096128752,32.00000000000001,2300.0,1.83502E7
2400.0,162.101558331,7.674489363413057E-4,2400.0,66.16666666666666,32.33333333333333,66.1525635681534,32.33333333333333,2400.0,1.8353784E7
2500.0,169.638333352,8.032398492082308E-4,2500.0,66.2,32.400000000000006,66.18647458983594,32.400000000000006,2500.0,1.8356488E7
2600.0,177.006689213,8.382357858793456E-4,2600.0,66.42307692307692,32.84615384615384,66.41015775298192,32.84615384615384,2600.0,1.8359016E7
2700.0,184.595976193,8.74286184657373E-4,2700.0,66.44444444444444,32.88888888888888,66.43201185624305,32.88888888888888,2700.0,1.836164E7
2800.0,192.305257428,9.109124639323141E-4,2800.0,66.25,32.49999999999999,66.23794212218648,32.49999999999999,2800.0,1.8364592E7
2900.0,199.868433976,9.468506828998875E-4,2900.0,65.96551724137932,31.931034482758626,65.9537771645395,31.931034482758626,2900.0,1.8367696E7
3000.0,207.082901221,9.811362573068228E-4,3000.0,65.76666666666667,31.533333333333324,65.75525175058353,31.533333333333324,3000.0,1.8370016E7
3100.0,214.971434711,0.0010186489104324248,3100.0,65.64516129032259,31.290322580645167,65.27551353113793,30.573663624511095,3100.0,1.8381624E7
3200.0,222.665915589,0.0010552516923540815,3200.0,65.40625,30.8125,64.66645387807213,29.355456285896626,3200.0,1.8388112E7
3300.0,231.128930854,0.0010955166413543162,3300.0,65.48484848484848,30.96969696969698,64.40625000000001,28.812500000000014,3300.0,1.839096E7
3400.0,239.341927444,0.001134597927071648,3400.0,65.61764705882352,31.23529411764705,64.21793694520967,28.45777233782129,3400.0,1.839372E7
3500.0,247.381527485,0.0011728606498186012,3500.0,65.54285714285714,31.085714285714296,63.81638163816382,27.654469106178777,3500.0,1.8396864E7
3600.0,255.331859,0.0012107034382492958,3600.0,65.66666666666666,31.333333333333325,63.6470588235294,27.294117647058812,3600.0,1.8399256E7
