learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,5.150805385,3.2004564752186355E-5,100.0,100.0,?,?,?,100.0,2.4018128E7
200.0,10.774121641,6.929765216842216E-5,200.0,90.0,29.97198879551819,-399.9999999999995,-233.33333333333294,200.0,2.5635288E7
300.0,16.375555272,1.064659158397918E-4,300.0,92.33333333333333,27.944862155388435,-475.0000000000011,-283.333333333333,300.0,2.5649296E7
400.0,21.997455228,1.437798502096149E-4,400.0,93.5,25.925925925925892,-549.999999999999,-333.3333333333326,400.0,2.565608E7
500.0,27.616394977,1.8108167254206879E-4,500.0,89.2,15.814417560488959,-799.9999999999991,-574.9999999999993,500.0,2.5661264E7
600.0,33.249030561,2.1848376505402203E-4,600.0,90.16666666666666,16.784203102961857,-637.5000000000018,-489.9999999999984,600.0,2.566768E7
700.0,38.938417499,2.5628411892285693E-4,700.0,90.85714285714286,34.001178550383074,-433.33333333333377,-190.90909090909045,700.0,2.5682232E7
800.0,44.481886518,2.93180456187527E-4,800.0,90.5,68.16887250795779,-484.6153846153849,37.704918032786885,800.0,2.572788E7
900.0,50.164102735,3.310258948851416E-4,900.0,90.33333333333333,73.76251558164783,-210.71428571428598,56.71641791044777,900.0,2.5745312E7
1000.0,56.019439014,3.7003888808227227E-4,1000.0,90.3,75.38395947742937,-51.562500000000085,62.256809338521414,1000.0,2.5754896E7
1100.0,61.864302555,4.089969217054845E-4,1100.0,86.0909090909091,65.63903634136383,-59.374999999999936,52.92307692307693,1100.0,2.5764696E7
1200.0,67.818334427,4.486937764546756E-4,1200.0,85.08333333333333,62.794113571487955,-52.991452991452945,50.13927576601671,1200.0,2.5771952E7
1300.0,73.705226282,4.8795034045533825E-4,1300.0,82.3076923076923,56.6811062979007,-84.00000000000006,45.10739856801908,1300.0,2.5776776E7
1400.0,79.671583869,5.277519086020738E-4,1400.0,81.21428571428572,55.22751039665362,-81.37931034482763,44.979079497907954,1400.0,2.5786552E7
1500.0,85.894405658,5.692728106612453E-4,1500.0,79.13333333333334,50.86753594675485,-74.8603351955308,41.49532710280374,1500.0,2.5791808E7
1600.0,92.275681899,6.118582678497143E-4,1600.0,77.1875,46.946710514362536,-63.67713004484303,38.55218855218855,1600.0,2.5796224E7
1700.0,98.57317614,6.538902491592788E-4,1700.0,76.05882352941177,45.148074038604854,-69.58333333333326,37.67228177641655,1700.0,2.5799688E7
1800.0,104.989619474,6.967346158213538E-4,1800.0,75.55555555555556,44.25675675675676,-54.92957746478873,37.142857142857125,1800.0,2.5810816E7
1900.0,111.355226496,7.392451334451015E-4,1900.0,74.42105263157895,42.771651825555786,-60.92715231788084,36.718749999999986,1900.0,2.5814216E7
2000.0,117.768991642,7.820829530713709E-4,2000.0,74.35000000000001,42.5320834528248,-53.592814371257425,36.50990099009903,2000.0,2.5817648E7
2100.0,124.092039268,8.243240005682905E-4,2100.0,72.80952380952381,40.2169360918,-53.90835579514825,35.2607709750567,2100.0,2.5823232E7
2200.0,130.401635434,8.664790379612252E-4,2200.0,71.18181818181817,37.64891529318151,-59.296482412060314,33.61256544502617,2200.0,2.5825592E7
2300.0,136.729680627,9.087618927345872E-4,2300.0,70.21739130434783,36.06184813928008,-68.30466830466825,32.51231527093598,2300.0,2.5828376E7
2400.0,143.1161923,9.514441335552495E-4,2400.0,69.66666666666667,35.13552043052906,-68.9095127610209,31.83520599250935,2400.0,2.5833656E7
2500.0,149.547558489,9.944305910881198E-4,2500.0,69.19999999999999,34.26857484709333,-67.7559912854031,31.12701252236135,2500.0,2.5836328E7
2600.0,155.856576803,0.001036605544920072,2600.0,67.46153846153847,32.39737900003689,-84.31372549019608,30.541871921182267,2600.0,2.584016E7
2700.0,162.180206171,0.001078885500672418,2700.0,66.62962962962963,32.338543694721025,-96.29629629629626,31.638846737481025,2700.0,2.584464E7
2800.0,168.522951748,0.0011212988731329762,2800.0,65.64285714285715,31.77816455503844,-109.58605664488014,30.39073806078148,2800.0,2.5848056E7
2900.0,174.850069229,0.0011636181521507947,2900.0,64.86206896551724,31.48147117635493,-122.00435729847501,26.266280752532552,2900.0,2.5854416E7
3000.0,181.169143506,0.00120588979348333,3000.0,63.76666666666667,30.489773193309627,-136.81917211328968,21.34587554269176,3000.0,2.5858184E7
3100.0,187.482359449,0.0012481276023165702,3100.0,62.77419354838709,29.62318284044248,-151.41612200435733,16.497829232995645,3100.0,2.5861464E7
3200.0,193.809918073,0.001290463700133079,3200.0,62.34375,29.55842485623048,-160.25917926565882,13.18443804034581,3200.0,2.5862888E7
3300.0,200.225155542,0.0013333905375700306,3300.0,62.54545454545455,30.083810977397064,-161.3107822410148,13.019000703729786,3300.0,2.586536E7
3400.0,206.565058976,0.0013758148997100722,3400.0,62.05882352941177,29.81292728740887,-170.4402515723271,9.600560616678344,3400.0,2.5866344E7
3500.0,213.007347413,0.0014189259988974271,3500.0,61.885714285714286,29.505119598210893,-174.48559670781881,9.37500000000001,3500.0,2.5867312E7
3600.0,219.425533429,0.0014618783974910923,3600.0,61.88888888888889,29.501535088658333,-178.29614604462475,9.438943894389439,3600.0,2.5868872E7
3700.0,225.908090099,0.001505265876762535,3700.0,61.945945945945944,29.549332641664723,-183.29979879275663,9.801409352978864,3700.0,2.5871432E7
3800.0,232.387545482,0.0015486346911976593,3800.0,61.973684210526315,29.836980549599666,-178.95752895752906,8.832807570977918,3800.0,2.587268E7
3900.0,238.936648195,0.0015924711928255641,3900.0,62.0,29.78543971749931,-177.0093457943926,9.468540012217465,3900.0,2.5873576E7
4000.0,245.374211472,0.001635563715182194,4000.0,61.5,29.45919248639627,-187.85046728971955,5.925473427000609,4000.0,2.5875144E7
4100.0,251.834578925,0.001678813419399065,4100.0,61.70731707317073,30.110049799168177,-192.36499068901304,4.675166970248942,4100.0,2.5877856E7
4200.0,258.342662242,0.0017223838292880832,4200.0,61.523809523809526,30.013165840089496,-195.4296160877513,3.117505995203837,4200.0,2.5878608E7
4300.0,264.817408944,0.001765733669760744,4300.0,61.372093023255815,30.09724511327646,-203.10218978102185,0.5389221556886226,4300.0,2.5880168E7
4400.0,271.370273192,0.0018096080567197067,4400.0,61.227272727272734,29.90741473923886,-205.73476702508958,0.11709601873537089,4400.0,2.5881072E7
4500.0,277.915212783,0.001853431795608518,4500.0,61.266666666666666,30.019685671643288,-210.6951871657753,-0.11487650775417076,4500.0,2.5882496E7
4600.0,284.456735325,0.0018972346717690228,4600.0,61.21739130434782,30.178893613169084,-217.43772241992886,-2.1179164281625726,4600.0,2.5883688E7
4700.0,291.065902871,0.001941492066909537,4700.0,61.34042553191489,30.350483082961848,-221.5929203539824,-1.5651201788709033,4700.0,2.58846E7
4800.0,297.640258598,0.00198555846099349,4800.0,61.541666666666664,30.743239282389652,-219.93067590987866,-1.707988980716256,4800.0,2.590936E7
4900.0,304.235511522,0.0020297679680365975,4900.0,61.73469387755102,31.138716418178923,-221.6123499142368,-2.403058438012014,4900.0,2.5911144E7
5000.0,310.798197822,0.0020737608576498565,5000.0,61.94,31.592295545439818,-221.99661590524548,-3.4801522566612375,5000.0,2.5912136E7
5100.0,317.396474881,0.002117995497646082,5100.0,62.29411764705882,32.220428705978485,-224.28330522765586,-3.8336933045356356,5100.0,2.5913992E7
5200.0,323.96028302,0.0021620012054467466,5200.0,62.346153846153854,32.41348692665375,-227.9731993299833,-5.4956896551724075,5200.0,2.5915256E7
5300.0,330.558092013,0.0022062364489758906,5300.0,62.90566037735849,33.255800963697105,-226.03648424543957,-5.5853920515574895,5300.0,2.5916184E7
5400.0,337.174129772,0.00225059768706553,5400.0,63.2962962962963,33.67510842212347,-225.45155993431862,-5.20169851380042,5400.0,2.5918392E7
5500.0,343.812890621,0.0022951165481681626,5500.0,63.709090909090904,34.20778210825641,-224.55284552845535,-5.1633298208640745,5500.0,2.5921456E7
5600.0,350.427636999,0.002339478244895293,5600.0,64.17857142857143,34.91691965423745,-225.12155591572113,-5.578947368421046,5600.0,2.592372E7
5700.0,357.100944413,0.0023842345586379816,5700.0,64.43859649122807,35.085533443768654,-223.2854864433812,-5.40821632865315,5700.0,2.5924808E7
5800.0,363.765769861,0.0024289355720758486,5800.0,64.8103448275862,35.5155357998867,-219.40532081377137,-5.260443527591522,5800.0,2.5925728E7
5900.0,370.4182161,0.0024735561464776647,5900.0,65.10169491525424,35.7749303088657,-218.2380216383308,-4.677173360447375,5900.0,2.5927232E7
6000.0,377.119758355,0.002518511699822179,6000.0,65.33333333333333,35.89760052596841,-216.59056316590554,-4.680422747861083,6000.0,2.5930504E7
6100.0,383.833098315,0.0025635494238872123,6100.0,65.45901639344262,35.84270598451324,-214.00894187779437,-3.946719289590512,6100.0,2.5932248E7
6200.0,390.565909842,0.0026087208422189076,6200.0,65.51612903225806,35.61576567628071,-210.3047895500727,-3.535108958837791,6200.0,2.5934008E7
6300.0,397.335396259,0.0026541403072012654,6300.0,65.58730158730158,35.42990425960106,-210.15736766809744,-3.3857892226991084,6300.0,2.5935144E7
6400.0,404.062969504,0.0026992799784475254,6400.0,65.8125,35.55072255523121,-209.4766619519095,-3.256252949504507,6400.0,2.593596E7
6500.0,410.786258063,0.002744393433393641,6500.0,65.92307692307692,35.459215693306305,-210.22408963585448,-2.7842227378190354,6500.0,2.5937416E7
6600.0,417.573793694,0.0027899437615279995,6600.0,65.92424242424244,35.17220415554059,-211.49584487534625,-2.6940639269406317,6600.0,2.5940704E7
6700.0,424.344974475,0.002835386436299403,6700.0,66.1044776119403,35.23956470731843,-210.6703146374829,-2.1592442645074312,6700.0,2.5941904E7
6800.0,431.143728937,0.002881017863863586,6800.0,66.30882352941177,35.38553831891243,-210.01353179972946,-2.139991083370492,6800.0,2.5944008E7
6900.0,437.87323651,0.0029261863353339185,6900.0,66.71014492753623,35.899281797584855,-209.9865047233469,-2.3162583518930866,6900.0,2.5945048E7
7000.0,444.682308745,0.00297189157887874,7000.0,66.72857142857143,35.62588320435344,-210.94793057409888,-2.1939447125932343,7000.0,2.59466E7
7100.0,451.451332123,0.0030173295673480553,7100.0,66.95774647887323,35.79961444154459,-211.96808510638294,-2.3560209424084015,7100.0,2.5947496E7
7200.0,458.209105504,0.0030626932135028946,7200.0,67.25,36.10258753357628,-213.14741035856568,-2.299349240780924,7200.0,2.5948168E7
7300.0,465.082580523,0.003108838791892642,7300.0,67.38356164383562,36.17612075602948,-214.53104359313065,-1.8827556696619379,7300.0,2.595112E7
7400.0,471.838435503,0.0031541952508429357,7400.0,67.74324324324324,36.622285498595666,-215.32364597093786,-2.139495079161296,7400.0,2.5951424E7
7500.0,478.615323074,0.003199694079404058,7500.0,68.08,37.02566259489904,-215.41501976284601,-2.351432235998316,7500.0,2.5952088E7
7600.0,485.371811065,0.0032450568437100173,7600.0,68.47368421052632,37.51007633546921,-215.67852437417642,-2.4369388627618482,7600.0,2.59526E7
7700.0,492.147001092,0.003290546967478589,7700.0,68.79220779220779,37.87573010647458,-216.6007905138341,-2.7362120564343595,7700.0,2.5953624E7
7800.0,498.914222115,0.00333598417382257,7800.0,69.11538461538461,38.24344536249693,-217.39130434782606,-2.992731936725123,7800.0,2.595396E7
7900.0,505.690549138,0.0033814835163824093,7900.0,69.45569620253164,38.632593028310765,-217.9183135704874,-3.1637451902522464,7900.0,2.5954528E7
8000.0,512.789724369,0.0034291525187165146,8000.0,69.83749999999999,39.080524917340234,-217.91831357048736,-3.1637451902522375,8000.0,2.5955568E7
8100.0,519.543123832,0.003474500990119811,8100.0,70.18518518518519,39.4738265413281,-218.18181818181807,-3.2492518170158045,8100.0,2.5956288E7
8200.0,526.286504741,0.0035197831787178936,8200.0,70.52439024390243,39.85157273779529,-218.44532279314902,-3.3347584437793953,8200.0,2.5956856E7
8300.0,533.030696826,0.0035650718752034322,8300.0,70.83132530120481,40.178101903983446,-218.97233201581017,-3.505771697306539,8300.0,2.5957464E7
8400.0,539.836319319,0.0036107908370991777,8400.0,71.14285714285714,40.509556961333715,-219.3675889328065,-3.6340316374518884,8400.0,2.5967544E7
8500.0,546.642328085,0.0036565137179691994,8500.0,71.4470588235294,40.828207186033396,-219.7628458498023,-3.7622915775972965,8500.0,2.5968296E7
8600.0,553.422149754,0.003702061445218695,8600.0,71.74418604651163,41.13472576269232,-220.1581027667985,-3.8905515177426118,8600.0,2.5968736E7
8700.0,560.200833566,0.003747602468152876,8700.0,72.0,41.37709229913094,-220.94861660079061,-4.147071398033337,8700.0,2.5969272E7
8800.0,567.007440344,0.003793332634659749,8800.0,72.23863636363636,41.58795850751833,-220.18348623853223,-4.179104477611931,8800.0,2.5970152E7
8900.0,573.789421727,0.0038388991100301987,8900.0,72.53932584269663,41.93352013258365,-219.47712418300648,-3.9557635048915385,8900.0,2.5971152E7
9000.0,580.543935423,0.0038842835529773363,9000.0,72.8,42.18235473277262,-220.00000000000014,-4.12590387069332,9000.0,2.5972592E7
9100.0,587.285145835,0.003929581720672214,9100.0,72.95604395604396,42.26964181920526,-221.6993464052286,-4.678860059549112,9100.0,2.5974376E7
9200.0,594.020153323,0.003974839587205392,9200.0,73.18478260869566,42.46833659668186,-222.48366013071873,-4.934070608251814,9200.0,2.5975168E7
9300.0,600.933161261,0.0040212974145201015,9300.0,73.18279569892474,42.27234633784738,-220.56555269922896,-4.701931150293886,9300.0,2.5977312E7
9324.0,603.276432505,0.004037045078578223,9324.0,73.20892320892321,42.2791850997843,-219.4373401534527,-4.6501885211562906,9324.0,2.5977416E7
