learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.514778742,8.835271223150193E-9,100.0,64.0,5.511811023622052,45.45454545454546,-9.090909090909099,100.0,66344.0
200.0,0.639261622,1.0977468669840858E-8,200.0,66.5,8.143679736769936,49.62406015037594,0.0,200.0,66520.0
300.0,0.717014436,1.231598183814436E-8,300.0,67.0,6.896551724137972,50.5,1.0000000000000229,300.0,66544.0
400.0,0.776730356,1.334794505904532E-8,400.0,68.25,10.380354244583982,52.25563909774436,4.5112781954887256,400.0,66800.0
500.0,0.843956041,1.4509964350565439E-8,500.0,68.0,8.784091945635309,51.80722891566266,3.6144578313253044,500.0,66816.0
600.0,0.918113912,1.5792422792675593E-8,600.0,67.83333333333333,10.232558139534873,51.62907268170426,3.5000000000000133,600.0,66848.0
700.0,0.989716463,1.7032765134597816E-8,700.0,65.42857142857143,8.273770846870239,47.956989247311824,-3.4188034188034266,700.0,66960.0
800.0,1.063215086,1.8307169278499977E-8,800.0,65.25,6.687141790230659,47.74436090225563,-4.119850187265929,800.0,67024.0
900.0,1.133242141,1.952166921752608E-8,900.0,64.44444444444444,4.191616766467064,46.48829431438128,-6.666666666666641,900.0,67040.0
1000.0,1.205742583,2.0779515981268547E-8,1000.0,64.4,3.2792675306327372,46.385542168674704,-6.906906906906913,1000.0,67064.0
1100.0,1.278916772,2.204920336351626E-8,1100.0,64.45454545454545,3.010048528801581,46.43835616438356,-6.830601092896169,1100.0,67072.0
1200.0,1.346124419,2.3215918221854497E-8,1200.0,64.58333333333334,3.3358605003791104,46.67503136762862,-6.249999999999977,1200.0,67104.0
1300.0,1.417085203,2.4448668151083916E-8,1300.0,65.0,3.9535729595614315,47.33796296296296,-5.0808314087759845,1300.0,67152.0
1400.0,1.482909071,2.5592586874771447E-8,1400.0,65.5,5.220843004675866,48.1203007518797,-3.42612419700215,1400.0,67176.0
1500.0,1.539593726,2.6577797289933594E-8,1500.0,66.06666666666666,6.60550458715594,48.99799599198396,-1.8000000000000012,1500.0,67184.0
