learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,8.036677758,3.782828885226479E-5,100.0,53.0,6.000000000000005,52.52525252525253,6.000000000000005,100.0,1.81946E7
200.0,16.150524203,7.605811092946475E-5,200.0,61.5,23.0,61.30653266331658,23.0,200.0,1.8212848E7
300.0,24.030752527,1.1320832003569633E-4,300.0,67.66666666666666,35.33333333333333,67.55852842809364,35.33333333333333,300.0,1.8223208E7
400.0,32.094492424,1.5124876809848313E-4,400.0,68.75,37.5,68.67167919799499,37.5,400.0,1.823524E7
500.0,40.21515444,1.8958695434506264E-4,500.0,69.19999999999999,38.39999999999999,69.13827655310621,38.39999999999999,500.0,1.8249144E7
600.0,48.271166406,2.276376965708108E-4,600.0,67.66666666666666,35.33333333333333,67.6126878130217,35.33333333333333,600.0,1.8257672E7
700.0,56.487202888,2.6645898666295134E-4,700.0,68.28571428571428,36.57142857142857,68.24034334763948,36.57142857142857,700.0,1.8264592E7
800.0,64.678580866,3.051941264545008E-4,800.0,68.875,37.74999999999999,68.83604505632039,37.74999999999999,800.0,1.827892E7
900.0,73.087607938,3.4497327154684506E-4,900.0,69.22222222222221,38.444444444444436,69.18798665183536,38.444444444444436,900.0,1.828572E7
1000.0,81.41126736,3.8437139065048754E-4,1000.0,70.19999999999999,40.39999999999999,70.17017017017017,40.39999999999999,1000.0,1.8296312E7
1100.0,89.959863102,4.248467376502872E-4,1100.0,71.0,41.99999999999999,70.97361237488626,41.99999999999999,1100.0,1.8301984E7
1200.0,98.416445896,4.6489813629947203E-4,1200.0,71.66666666666667,43.333333333333336,71.64303586321935,43.333333333333336,1200.0,1.8307336E7
1300.0,107.065871541,5.058777555582603E-4,1300.0,72.61538461538461,45.230769230769226,72.59430331023864,45.230769230769226,1300.0,1.8313992E7
1400.0,115.572452121,5.461888366156661E-4,1400.0,73.35714285714286,46.71428571428571,73.33809864188706,46.71428571428571,1400.0,1.8317736E7
1500.0,124.269207841,5.874108231782268E-4,1500.0,74.53333333333333,49.066666666666656,74.51634422948632,49.066666666666656,1500.0,1.8322048E7
1600.0,132.966102694,6.286407228758081E-4,1600.0,75.375,50.75000000000001,75.35959974984365,50.75000000000001,1600.0,1.8325272E7
1700.0,141.611305391,6.696340611941188E-4,1700.0,76.0,52.0,75.98587404355503,52.0,1700.0,1.8329072E7
1800.0,150.418440634,7.114029887979005E-4,1800.0,76.5,53.0,76.4869371873263,53.0,1800.0,1.8332472E7
1900.0,159.114894832,7.526552050571851E-4,1900.0,76.84210526315789,53.68421052631578,76.82991047919957,53.68421052631578,1900.0,1.833612E7
2000.0,167.965010271,7.94644419545684E-4,2000.0,77.14999999999999,54.29999999999999,77.13856928464232,54.29999999999999,2000.0,1.8339656E7
2100.0,176.772745479,8.3644003548689E-4,2100.0,77.47619047619048,54.95238095238095,77.46545974273464,54.95238095238095,2100.0,1.8342936E7
2200.0,185.728486284,8.789462720046459E-4,2200.0,77.68181818181819,55.363636363636374,77.67166894042748,55.363636363636374,2200.0,1.8346512E7
2300.0,194.605896645,9.21087805704806E-4,2300.0,78.04347826086956,56.08695652173914,78.03392779469334,56.08695652173914,2300.0,1.8349592E7
2400.0,203.614617359,9.638609174230713E-4,2400.0,78.25,56.49999999999999,78.24093372238433,56.49999999999999,2400.0,1.8353128E7
2500.0,212.476013384,0.00100594069843393,2500.0,78.64,57.28,78.63145258103242,57.28,2500.0,1.8355816E7
2600.0,221.509284957,0.0010488427905150691,2600.0,79.11538461538463,58.23076923076924,79.10734898037707,58.23076923076924,2600.0,1.835844E7
2700.0,230.397330829,0.0010910613367754408,2700.0,79.66666666666666,59.33333333333333,79.65913301222675,59.33333333333333,2700.0,1.8361128E7
2800.0,239.621126429,0.001134881368925499,2800.0,80.10714285714286,60.21428571428571,80.10003572704537,60.21428571428571,2800.0,1.836392E7
2900.0,248.784037387,0.0011784198899542442,2900.0,80.41379310344827,60.82758620689654,80.40703690927906,60.82758620689654,2900.0,1.8367184E7
3000.0,258.25274391,0.0012234171132835283,3000.0,80.80000000000001,61.60000000000001,80.79359786595532,61.60000000000001,3000.0,1.8369504E7
3100.0,267.537081364,0.0012675659812046481,3100.0,80.83870967741935,61.677419354838705,80.63253994131072,61.27770534550196,3100.0,1.838108E7
3200.0,276.851061711,0.001311871478572414,3200.0,81.0,62.000000000000014,80.59368017874242,61.19974473516274,3200.0,1.8387584E7
3300.0,286.287789787,0.0013567677079033872,3300.0,81.18181818181817,62.36363636363635,80.59375,61.18749999999999,3300.0,1.8390384E7
3400.0,295.642639632,0.0014012810336846034,3400.0,81.35294117647058,62.70588235294117,80.59381695745331,61.199510403916754,3400.0,1.8393128E7
3500.0,305.120175276,0.0014463858457900792,3500.0,81.68571428571428,63.37142857142857,80.76807680768077,61.547690461907614,3500.0,1.8396272E7
3600.0,314.48231179,0.0014909471744811082,3600.0,82.0,63.99999999999999,80.94117647058823,61.88235294117646,3600.0,1.8398632E7
3700.0,323.866348103,0.0015356218296526023,3700.0,82.02702702702702,64.05405405405405,80.81915200461493,61.64936562860437,3700.0,1.8402376E7
3800.0,333.366465593,0.0015808579807279706,3800.0,82.13157894736842,64.26315789473685,80.78120577412963,61.573288058856825,3800.0,1.8405984E7
3900.0,342.755606464,0.0016255740955054788,3900.0,82.25641025641026,64.51282051282053,80.77777777777779,61.55555555555557,3900.0,1.840944E7
4000.0,352.25320817,0.0016708118301607142,4000.0,82.525,65.05000000000001,80.93809653667849,61.88658669574701,4000.0,1.8411504E7
4100.0,361.679724152,0.001715715621772492,4100.0,82.70731707317073,65.41463414634146,81.00723278864183,62.024638457418305,4100.0,1.8413408E7
4200.0,371.312817292,0.001761609058660673,4200.0,83.02380952380952,66.04761904761904,81.23684210526315,62.4736842105263,4200.0,1.8415656E7
4300.0,380.872373193,0.0018071566842518228,4300.0,83.23255813953489,66.46511627906978,81.35505559865528,62.71975180972079,4300.0,1.8417488E7
4400.0,390.529567615,0.0018531739970259616,4400.0,83.4090909090909,66.81818181818183,81.43910500889908,62.88764616166752,4400.0,1.841928E7
4500.0,400.091042534,0.001898739868705777,4500.0,83.6,67.19999999999999,81.55000000000001,63.09999999999999,4500.0,1.8421168E7
4600.0,409.656532677,0.001944338139065359,4600.0,83.65217391304348,67.30434782608697,81.50061500615008,63.31707317073171,4600.0,1.8426528E7
