learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,10.223002785,6.462292379885534E-5,100.0,100.0,?,?,?,100.0,2.4434896E7
200.0,22.683146201,1.485937703212342E-4,200.0,98.5,65.9863945578232,25.0,50.0,200.0,2.6050008E7
300.0,36.499256509,2.4175841836552068E-4,300.0,99.0,66.21621621621627,24.99999999999979,50.0,300.0,2.60656E7
400.0,50.586191303,3.367682375631483E-4,400.0,99.25,66.32996632996662,25.000000000000554,50.00000000000037,400.0,2.60708E7
500.0,64.818826807,4.327857188817566E-4,500.0,99.0,54.145267791636165,16.666666666666664,37.5,500.0,2.6077584E7
600.0,79.20372012,5.298541327823059E-4,600.0,98.83333333333333,45.7364341085271,12.49999999999948,29.999999999999932,600.0,2.6083968E7
700.0,93.742344001,6.280135605904582E-4,700.0,97.42857142857143,30.093209054594073,-50.0,18.181818181818375,700.0,2.6098232E7
800.0,108.577833434,7.283525713739944E-4,800.0,85.25,5.4335630710049765,-807.6923076923082,3.2786885245901676,800.0,2.6143896E7
900.0,123.328599156,8.281852623005615E-4,900.0,78.11111111111111,3.0575421560265723,-603.5714285714291,1.9900497512437936,900.0,2.616128E7
1000.0,138.092719891,9.281445177060908E-4,1000.0,74.7,2.295477014335127,-295.31250000000034,1.5564202334630364,1000.0,2.6170848E7
1100.0,152.932193711,0.001028651628378529,1100.0,70.81818181818181,1.7255775118285261,-234.37500000000006,1.2307692307692013,1100.0,2.6180664E7
1200.0,167.706537466,0.0011287453493530432,1200.0,70.41666666666667,1.5547873028785082,-203.41880341880326,1.1142061281337303,1200.0,2.618792E7
1300.0,182.595828464,0.0012296364001974237,1300.0,68.07692307692308,1.2895482190036152,-231.99999999999997,0.9546539379474975,1300.0,2.6192744E7
1400.0,197.476584122,0.0013305072491784297,1400.0,66.14285714285715,1.0992941625334243,-226.89655172413802,0.8368200836820183,1400.0,2.620252E7
1500.0,212.429431163,0.0014318872332120074,1500.0,64.60000000000001,0.9599363358285189,-196.6480446927375,0.7476635514018801,1500.0,2.6207808E7
1600.0,227.426518995,0.0015335843018734739,1600.0,63.125,0.8453355293010438,-164.5739910313901,0.673400673400659,1600.0,2.6212224E7
1700.0,242.434876503,0.001635371116905719,1700.0,61.82352941176471,0.7534569424904439,-170.41666666666652,0.6125574272588264,1700.0,2.6215656E7
1800.0,257.433859864,0.0017371375357857106,1800.0,61.33333333333333,0.697526949904862,-145.07042253521126,0.5714285714285466,1800.0,2.6226784E7
1900.0,272.522245808,0.0018395238126375673,1900.0,60.31578947368421,2.1645896731262244,-149.66887417218544,1.8229166666666667,1900.0,2.6230184E7
2000.0,287.552451953,0.0019415285152136344,2000.0,60.45,2.4978305459135446,-136.82634730538913,2.103960396039619,2000.0,2.6233584E7
2100.0,302.683839846,0.0020442421369553207,2100.0,59.19047619047619,3.273137697516934,-130.99730458221026,2.834467120181422,2100.0,2.6239264E7
2200.0,317.822336116,0.002147013128426312,2200.0,58.04545454545455,3.7758022632067805,-131.90954773869348,3.350785340314132,2200.0,2.6241592E7
2300.0,332.959436984,0.002249785548990802,2300.0,58.08695652173913,5.581555783619437,-136.85503685503681,5.024630541871923,2300.0,2.6244376E7
2400.0,348.109839545,0.002352668849702432,2400.0,58.08333333333333,6.402932584060565,-133.41067285382834,5.805243445692869,2400.0,2.6249624E7
2500.0,363.356183784,0.002456214209835102,2500.0,58.440000000000005,7.754515855924478,-126.3616557734205,7.066189624329175,2500.0,2.6252296E7
2600.0,378.704299724,0.0025604657758598877,2600.0,57.65384615384615,10.150320716838872,-139.86928104575162,9.605911330049269,2600.0,2.625608E7
2700.0,394.068871701,0.0026648469897841863,2700.0,57.074074074074076,12.314474206282497,-152.5054466230936,12.063732928679817,2700.0,2.6260576E7
2800.0,409.439896994,0.002769285247112504,2800.0,57.17857142857142,15.276051882187975,-161.2200435729848,13.241678726483341,2800.0,2.6263896E7
2900.0,424.817127643,0.0028737912856295557,2900.0,56.862068965517246,16.903502792559046,-172.54901960784318,9.47901591895803,2900.0,2.6270336E7
3000.0,440.278169357,0.0029788820522880038,3000.0,56.733333333333334,18.509651604694383,-182.78867102396507,6.0781476121563,3000.0,2.627412E7
3100.0,455.71702881,0.0030838351436183803,3100.0,57.12903225806451,20.69636441751991,-189.5424836601307,3.8350217076700424,3100.0,2.62774E7
3200.0,471.162441755,0.0031888384754034126,3200.0,57.09375,21.714302819682025,-196.54427645788343,1.0806916426512867,3200.0,2.6278824E7
3300.0,486.551271946,0.0032934669153759323,3300.0,57.90909090909091,23.301786395550412,-193.6575052854123,2.2519352568613793,3300.0,2.628128E7
3400.0,502.082028688,0.003399063944079383,3400.0,58.647058823529406,25.264608373978376,-194.75890985324958,1.4716187806587089,3400.0,2.6282184E7
3500.0,517.475992685,0.0035037351261479194,3500.0,59.25714285714285,26.18025801856038,-193.41563786008226,3.124999999999995,3500.0,2.6283248E7
3600.0,532.91723225,0.0036087339898764367,3600.0,60.0,27.331754929707774,-192.08924949290068,4.950495049504934,3600.0,2.6284808E7
3700.0,548.309566931,0.00371341043557968,3700.0,60.64864864864865,28.313103750388223,-192.9577464788733,6.726457399103149,3700.0,2.6287352E7
3800.0,563.83472085,0.00381899507421597,3800.0,61.10526315789474,29.33257000497002,-185.3281853281854,6.750788643533136,3800.0,2.6288584E7
3900.0,579.310890848,0.003924250166616774,3900.0,61.53846153846154,29.881791487865243,-180.37383177570098,8.368967623701897,3900.0,2.628948E7
4000.0,594.923822993,0.004030441726323107,4000.0,62.025,31.21598723397704,-183.92523364485976,7.2083078802687774,4000.0,2.6291048E7
4100.0,610.484866435,0.004136291281916692,4100.0,62.63414634146341,32.522077072137954,-185.28864059590316,6.9823922282938735,4100.0,2.629376E7
4200.0,626.071161796,0.004242315638683957,4200.0,63.142857142857146,33.49144153433697,-182.99817184643504,7.194244604316549,4200.0,2.6294512E7
4300.0,641.692892983,0.004348587348945763,4300.0,63.604651162790695,34.51882845188283,-185.5839416058394,6.287425149700587,4300.0,2.6296072E7
4400.0,657.236246918,0.004454329572838192,4400.0,64.18181818181819,35.41474492996807,-182.43727598566304,7.728337236533965,4400.0,2.6296992E7
4500.0,672.809140119,0.004560278426288806,4500.0,64.77777777777777,36.374840457626576,-182.5311942959001,8.960367604824803,4500.0,2.62984E7
4600.0,688.49104183,0.004666973356242688,4600.0,65.30434782608697,37.37171036412206,-183.98576512455514,8.643388666285071,4600.0,2.6299496E7
4700.0,704.063781134,0.0047729294456317645,4700.0,65.95744680851064,38.358321438074114,-183.1858407079647,10.5645612073784,4700.0,2.6300456E7
4800.0,719.76081731,0.0048798319855043164,4800.0,66.47916666666667,39.206740532932834,-178.8561525129982,11.349862258953179,4800.0,2.6325264E7
4900.0,735.486235703,0.004986934815887885,4900.0,66.9591836734694,40.02862381903313,-177.7015437392796,11.578372474057911,4900.0,2.6326984E7
5000.0,751.255011063,0.005094337184887253,5000.0,67.46,40.88446433549196,-175.29610829103223,11.528004350190319,5000.0,2.6328024E7
5100.0,767.01349689,0.005201677037481975,5100.0,67.7843137254902,41.43408183754107,-177.06576728499144,11.28509719222463,5100.0,2.632988E7
5200.0,782.814105008,0.005309308975300636,5200.0,68.28846153846155,42.25251037391345,-176.21440536013404,11.153017241379315,5200.0,2.6331144E7
5300.0,798.586605455,0.00541675323344622,5300.0,68.79245283018868,43.042981750779546,-174.29519071310122,11.170784103114915,5300.0,2.6332072E7
5400.0,814.362569705,0.005524230098860928,5400.0,68.98148148148148,43.288862271123996,-175.04105090311995,11.093418259023348,5400.0,2.633428E7
5500.0,830.163482599,0.00563188939116186,5500.0,69.47272727272727,44.03376749562186,-173.0081300813008,11.53846153846155,5500.0,2.6337328E7
5600.0,845.997106992,0.0057397808365186095,5600.0,70.01785714285714,44.84166559115813,-172.1231766612641,11.631578947368425,5600.0,2.6339592E7
5700.0,861.760851993,0.005847200359932518,5700.0,70.47368421052632,45.50033950440536,-168.42105263157902,12.480499219968772,5700.0,2.6340632E7
5800.0,877.574615918,0.005954964754893351,5800.0,70.93103448275862,46.17368481716789,-163.8497652582158,13.047962867457482,5800.0,2.6341616E7
5900.0,893.253044948,0.006061813646587816,5900.0,71.28813559322033,46.7115015311126,-161.8238021638331,13.879003558718859,5900.0,2.634328E7
6000.0,908.917958942,0.006168583627988606,6000.0,71.63333333333334,47.15100332878298,-159.05631659056303,14.34323100150984,6000.0,2.6346536E7
6100.0,924.519343218,0.006274927638175827,6100.0,71.8688524590164,47.44253579672639,-155.7377049180328,15.342871238283193,6100.0,2.634828E7
6200.0,940.144051508,0.006381437811090841,6200.0,72.12903225806451,47.731371958790454,-150.79825834542822,16.319612590799025,6200.0,2.6350056E7
6300.0,955.798493276,0.006488155271124581,6300.0,72.5079365079365,48.30216709606058,-147.7825464949929,17.40581783500239,6300.0,2.6351192E7
6400.0,971.477079555,0.006595040700676582,6400.0,72.875,48.8545629892534,-145.5445544554455,18.074563473336475,6400.0,2.6352024E7
6500.0,987.194784211,0.006702198536632825,6500.0,73.27692307692307,49.486385640273085,-143.27731092436986,19.396751740139205,6500.0,2.6353432E7
6600.0,1002.886150016,0.00680919028057691,6600.0,73.43939393939394,49.664701076245585,-142.79778393351805,19.95433789954337,6600.0,2.6356752E7
6700.0,1018.651287341,0.006916689930554263,6700.0,73.80597014925372,50.230880294399896,-140.08207934336525,21.05263157894737,6700.0,2.6357952E7
6800.0,1034.467465008,0.007024546224334389,6800.0,74.07352941176471,50.62769267365434,-138.5656292286875,21.39991083370485,6800.0,2.6360056E7
6900.0,1050.33078288,0.007132728252400318,6900.0,74.43478260869566,51.12111495067575,-138.0566801619434,21.42538975501114,6900.0,2.6361096E7
7000.0,1066.091797495,0.007240218937759505,7000.0,74.61428571428571,51.38023990386584,-137.2496662216289,22.027204914436158,7000.0,2.6362648E7
7100.0,1081.968484172,0.007348502190883102,7100.0,74.97183098591549,51.897921278925786,-136.30319148936172,22.469458987783568,7100.0,2.6363544E7
7200.0,1097.81029795,0.007456550421123013,7200.0,75.29166666666667,52.35438269152656,-136.2549800796812,22.81995661605206,7200.0,2.6364232E7
7300.0,1113.616087105,0.007564365018015216,7300.0,75.52054794520548,52.70062323748172,-136.06340819022458,23.534445870774487,7300.0,2.6367184E7
7400.0,1129.525427228,0.007672887208929685,7400.0,75.85135135135135,53.130619962546454,-136.06340819022458,23.534445870774498,7400.0,2.6367488E7
7500.0,1145.36822445,0.007780958147407733,7500.0,76.14666666666666,53.50625391562757,-135.70487483530974,23.514322359982877,7500.0,2.6368136E7
