learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,1.204365418,1.8808371017261514E-7,100.0,53.0,18.96551724137931,29.85074626865672,-42.42424242424243,100.0,603664.0
200.0,1.897335016,2.964054264930926E-7,200.0,64.5,35.781476121562946,47.01492537313434,-7.575757575757583,200.0,604232.0
300.0,2.3422634,3.6599871796939525E-7,300.0,74.66666666666667,50.86206896551726,62.0,23.232323232323232,300.0,604616.0
400.0,2.724428054,4.259235411192477E-7,400.0,58.25,16.99388637606244,37.21804511278195,-1.2121212121212133,400.0,606120.0
500.0,3.10903708,4.862412026563163E-7,500.0,54.6,9.886305894308938,31.831831831831835,2.155172413793106,500.0,606216.0
600.0,3.4912217,5.461873488923453E-7,600.0,55.00000000000001,10.000000000000009,32.330827067669176,9.698996655518396,600.0,606304.0
700.0,3.871913335,6.058985306408899E-7,700.0,53.714285714285715,8.669179472310812,30.32258064516129,2.409638554216873,700.0,606296.0
800.0,4.247371273,6.647872570560646E-7,800.0,55.125,12.41766284459625,32.5187969924812,1.6438356164383696,800.0,606280.0
900.0,4.614279817,7.223365718863678E-7,900.0,57.88888888888889,18.26024442846873,36.62207357859532,4.773869346733662,900.0,606296.0
1000.0,4.986757932,7.807640948184333E-7,1000.0,55.400000000000006,12.443264806118764,32.83132530120483,3.87931034482759,1000.0,606344.0
1100.0,5.354045871,8.383774783016308E-7,1100.0,54.54545454545454,9.93616930690149,31.60054719562243,5.8380414312617726,1100.0,606344.0
1200.0,5.73525496,8.981745560157383E-7,1200.0,54.333333333333336,8.666666666666668,31.242158092848182,8.36120401337792,1200.0,606344.0
1300.0,6.11750497,9.581309587568625E-7,1300.0,53.92307692307692,8.597278694374259,30.59096176129779,5.071315372424718,1300.0,606304.0
1400.0,6.526383493,1.0222640778042211E-6,1400.0,54.785714285714285,10.974399363500101,31.935483870967733,4.6686746987951775,1400.0,606304.0
1500.0,6.908687101,1.0822320523311033E-6,1500.0,55.666666666666664,13.238236061581274,33.23293172690763,4.591104734576754,1500.0,606336.0
