learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,8.293316369,3.903627551041942E-5,100.0,53.0,6.000000000000005,52.52525252525253,6.000000000000005,100.0,1.81946E7
200.0,16.503318832,7.771915366708923E-5,200.0,61.5,23.0,61.30653266331658,23.0,200.0,1.8212848E7
300.0,24.124265512,1.1364701655491604E-4,300.0,67.66666666666666,35.33333333333333,67.55852842809364,35.33333333333333,300.0,1.8223208E7
400.0,32.095277433,1.5124999021343133E-4,400.0,68.25,36.5,68.1704260651629,36.5,400.0,1.8235224E7
500.0,40.368267095,1.903073254224162E-4,500.0,68.4,36.80000000000001,68.33667334669339,36.80000000000001,500.0,1.8249144E7
600.0,49.292667645,2.3245966689008367E-4,600.0,67.0,34.00000000000001,66.9449081803005,34.00000000000001,600.0,1.8257656E7
700.0,58.190074523,2.745005855230617E-4,700.0,67.57142857142857,35.14285714285714,67.52503576537912,35.14285714285714,700.0,1.826464E7
800.0,66.736080434,3.1491267913064016E-4,800.0,68.125,36.25000000000001,68.08510638297872,36.25000000000001,800.0,1.827892E7
900.0,75.13913362,3.546635645829661E-4,900.0,68.55555555555556,37.111111111111114,68.52057842046719,37.111111111111114,900.0,1.828572E7
1000.0,83.907475067,3.961664470361083E-4,1000.0,69.5,38.99999999999999,69.46946946946947,38.99999999999999,1000.0,1.8296296E7
1100.0,92.667099252,4.376408130440852E-4,1100.0,70.45454545454545,40.90909090909092,70.42766151046406,40.90909090909092,1100.0,1.830192E7
1200.0,101.519266496,4.7956574748098915E-4,1200.0,71.16666666666667,42.333333333333336,71.14261884904086,42.333333333333336,1200.0,1.8307336E7
1300.0,109.895702287,5.192521917489104E-4,1300.0,72.15384615384616,44.307692307692314,72.13240954580446,44.307692307692314,1300.0,1.8314088E7
1400.0,119.484064091,5.646896300067136E-4,1400.0,72.85714285714285,45.71428571428571,72.83774124374554,45.71428571428571,1400.0,1.8317736E7
1500.0,129.846266897,6.138057140477013E-4,1500.0,74.06666666666666,48.13333333333334,74.04936624416277,48.13333333333334,1500.0,1.8322048E7
1600.0,140.337650356,6.635428987195446E-4,1600.0,75.0,50.0,74.98436522826766,50.0,1600.0,1.8325288E7
1700.0,149.846803274,7.086328678446635E-4,1700.0,75.52941176470588,51.058823529411754,75.51500882872277,51.058823529411754,1700.0,1.8329072E7
1800.0,159.234883773,7.531569224213806E-4,1800.0,76.0,52.0,75.98665925514175,52.0,1800.0,1.833244E7
1900.0,168.495878517,7.970870747866337E-4,1900.0,76.36842105263158,52.73684210526315,76.35597682991047,52.73684210526315,1900.0,1.833612E7
2000.0,177.793411594,8.411990542602233E-4,2000.0,76.7,53.400000000000006,76.68834417208605,53.400000000000006,2000.0,1.8339656E7
