learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,6.974217402,4.333434788434235E-5,100.0,100.0,?,?,?,100.0,2.4018128E7
200.0,15.242918283,9.817086448395807E-5,200.0,98.5,65.9863945578232,25.0,50.0,200.0,2.5635096E7
300.0,23.730424944,1.5448914856061434E-4,300.0,99.0,66.21621621621627,24.99999999999979,50.0,300.0,2.5649072E7
400.0,32.291740484,2.1131196379731756E-4,400.0,99.25,66.32996632996662,25.000000000000554,50.00000000000037,400.0,2.5655744E7
500.0,40.893039569,2.684119762541434E-4,500.0,99.0,54.145267791636165,16.666666666666664,37.5,500.0,2.5661056E7
600.0,49.546705887,3.258740297241644E-4,600.0,98.83333333333333,45.7364341085271,12.49999999999948,29.999999999999932,600.0,2.5667392E7
700.0,58.211912731,3.834452639805202E-4,700.0,97.57142857142857,36.29550321199153,-41.66666666666656,22.727272727272968,700.0,2.5682008E7
800.0,67.144343891,4.4289689123158655E-4,800.0,86.375,16.816117831113818,-738.461538461539,10.655737704918026,800.0,2.5727432E7
900.0,76.133759355,5.027683285080355E-4,900.0,79.33333333333333,11.13234591495468,-564.2857142857148,7.462686567164201,900.0,2.5744864E7
1000.0,85.218185307,5.632949670425218E-4,1000.0,76.0,9.523414586333551,-275.0000000000003,6.614785992217905,1000.0,2.57544E7
1100.0,94.356363047,6.242029043517371E-4,1100.0,72.0,7.216212515404623,-220.83333333333334,5.230769230769209,1100.0,2.57642E7
1200.0,103.515028216,6.852645489376886E-4,1200.0,71.5,6.513528658706065,-192.30769230769224,4.735376044568243,1200.0,2.577144E7
1300.0,112.708696222,7.465710340292858E-4,1300.0,69.07692307692308,5.421008625401325,-221.59999999999997,4.057279236276856,1300.0,2.5776264E7
1400.0,121.945115744,8.081859601190961E-4,1400.0,67.21428571428572,5.170327432426877,-216.5517241379311,3.974895397489539,1400.0,2.578604E7
1500.0,131.220409425,8.700728224568925E-4,1500.0,65.8,5.32959326788222,-186.5921787709498,4.112149532710294,1500.0,2.5791296E7
1600.0,140.545291329,9.323012402124384E-4,1600.0,64.3125,4.902675132715679,-156.0538116591928,3.8720538720538498,1600.0,2.5795728E7
1700.0,149.901849652,9.947495087731678E-4,1700.0,63.0,4.757069514067778,-162.08333333333323,3.675344563552843,1700.0,2.5799224E7
1800.0,159.241710448,0.0010571131438750962,1800.0,62.55555555555555,4.742462311557762,-137.32394366197184,3.7142857142856958,1800.0,2.581032E7
1900.0,168.656435684,0.0011199849019983958,1900.0,61.68421052631579,6.329909417934368,-141.05960264900668,5.208333333333322,1900.0,2.5813704E7
2000.0,178.053859888,0.0011827498560045484,2000.0,61.8,6.687250840303307,-128.74251497005983,5.4455445544554495,2000.0,2.5817296E7
2100.0,187.545650984,0.0012461588330269775,2100.0,60.57142857142858,7.233127184727111,-123.18059299191376,6.122448979591857,2100.0,2.5822896E7
2200.0,197.075627975,0.0013098286071980948,2200.0,59.5,7.6953503922547215,-123.86934673366837,6.701570680628264,2200.0,2.5825208E7
2300.0,206.582148794,0.00137334855685172,2300.0,59.47826086956521,9.196040140806282,-128.99262899262897,8.177339901477826,2300.0,2.5828008E7
2400.0,216.082497228,0.0014368402412352958,2400.0,59.54166666666667,10.110071189861234,-125.29002320185614,9.082397003745317,2400.0,2.5833288E7
2500.0,225.586412595,0.0015003622939801524,2500.0,60.0,11.656032408807821,-117.86492374727673,10.554561717352419,2500.0,2.5835944E7
2600.0,235.187122925,0.0015645407010518256,2600.0,59.38461538461538,14.083583255310947,-130.06535947712422,13.300492610837434,2600.0,2.5839728E7
2700.0,244.826251143,0.0016289870539859309,2700.0,59.25925925925925,16.88699541731122,-139.65141612200432,16.540212443095587,2700.0,2.5844192E7
2800.0,254.43264534,0.0016932229997860494,2800.0,59.53571428571428,19.88152446335975,-146.84095860566453,18.017366136034717,2800.0,2.5847592E7
2900.0,264.073410433,0.001757704638871412,2900.0,59.37931034482759,21.539824016962577,-156.64488017429198,14.761215629522425,2900.0,2.5853952E7
3000.0,273.754914889,0.001822468197952176,3000.0,59.53333333333334,23.412609623851193,-164.48801742919383,12.1562952243126,3000.0,2.585772E7
3100.0,283.464938971,0.0018874306954671154,3100.0,60.258064516129025,25.952925665981606,-168.40958605664488,10.85383502170766,3100.0,2.5860968E7
3200.0,293.156156463,0.0019522709423219209,3200.0,60.5625,27.357290461471152,-172.5701943844493,9.077809798270879,3200.0,2.5862392E7
