learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.899231318,7.27635002615634E-8,100.0,100.0,?,?,?,100.0,312784.0
200.0,1.411427272,1.1701714363942958E-7,200.0,98.5,71.96261682242988,25.0,50.0,200.0,333976.0
300.0,1.742285934,1.4561354701147726E-7,300.0,97.66666666666667,52.18579234972677,-75.00000000000021,-16.666666666666483,300.0,334096.0
400.0,2.04155254,1.714788020038191E-7,400.0,97.5,43.31065759637201,-150.0,-66.66666666666666,400.0,334088.0
500.0,2.366166354,1.9953478588177515E-7,500.0,96.2,28.00848742043029,-216.66666666666666,-137.5,500.0,334088.0
600.0,2.687445471,2.2732183859641355E-7,600.0,96.16666666666667,32.682926829268325,-187.5000000000005,-129.99999999999926,600.0,334320.0
700.0,2.977995261,2.5253653592238827E-7,700.0,95.0,36.131386861313906,-191.6666666666672,-59.09090909090901,700.0,335456.0
800.0,3.271462035,2.780359597632289E-7,800.0,94.375,78.45601436265709,-246.15384615384656,63.114754098360635,800.0,335872.0
900.0,3.50137716,2.9802144923830407E-7,900.0,93.66666666666667,81.58042138825455,-103.57142857142878,71.64179104477611,900.0,336008.0
1000.0,3.723186629,3.173101544209632E-7,1000.0,93.4,82.54032919415685,-3.1250000000000053,74.31906614785994,1000.0,336144.0
1100.0,3.947733085,3.3683454627727264E-7,1100.0,88.63636363636364,71.07698779974757,-30.208333333333336,61.53846153846153,1100.0,336104.0
1200.0,4.182113944,3.572174384007582E-7,1200.0,86.91666666666666,66.64282324945644,-34.18803418803417,56.267409470752085,1200.0,336160.0
1300.0,4.413227224,3.773171226908494E-7,1300.0,83.92307692307692,59.85709895513214,-67.20000000000003,50.11933174224343,1300.0,336176.0
1400.0,4.646548134,3.9761556264382893E-7,1400.0,82.35714285714286,57.44586592371268,-70.3448275862069,48.326359832635994,1400.0,336288.0
1500.0,4.879246777,4.1786323780698084E-7,1500.0,80.2,53.0410034784442,-65.92178770949722,44.48598130841123,1500.0,336344.0
1600.0,5.103680565,4.3739501925151386E-7,1600.0,78.625,50.15921362314828,-53.363228699551534,42.42424242424242,1600.0,336400.0
1700.0,5.33687574,4.576916903370392E-7,1700.0,78.41176470588235,50.75427496148114,-52.91666666666664,43.79785604900459,1700.0,336440.0
1800.0,5.569299795,4.779226883224544E-7,1800.0,78.77777777777779,52.09030100334447,-34.5070422535211,45.42857142857143,1800.0,336464.0
1900.0,5.804419642,4.983893106287367E-7,1900.0,79.42105263157895,54.76443896700466,-29.4701986754967,49.08854166666667,1900.0,336480.0
2000.0,6.029493564,5.179814591068176E-7,2000.0,80.25,56.700750666479586,-18.263473053892195,51.113861386138616,2000.0,336480.0
2100.0,6.255678198,5.376660794001592E-7,2100.0,80.95238095238095,59.193666857096225,-7.816711590296507,54.648526077097515,2100.0,336408.0
2200.0,6.472992128,5.565777917738074E-7,2200.0,81.63636363636364,61.35064031483053,-1.50753768844219,57.69633507853405,2200.0,336392.0
2300.0,6.693220981,5.757408959526715E-7,2300.0,82.17391304347827,62.79447795878591,-0.7371007371007077,59.60591133004927,2300.0,336352.0
2400.0,6.907325545,5.943684394960996E-7,2400.0,82.75,64.18003426257593,3.944315545243618,61.23595505617977,2400.0,336304.0
2500.0,7.127208339,6.134982460282682E-7,2500.0,83.32000000000001,65.47629140195733,9.150326797385642,62.70125223613597,2500.0,336296.0
2600.0,7.362360351,6.339530680626569E-7,2600.0,83.73076923076923,66.89124505536188,7.843137254901958,65.27093596059113,2600.0,336240.0
2700.0,7.550145803,6.502884621273747E-7,2700.0,84.11111111111111,68.04774273564065,6.535947712418341,67.45068285280729,2700.0,336256.0
2800.0,7.761424344,6.68664888617328E-7,2800.0,84.39285714285715,68.86263628322278,4.793028322440111,68.37916063675833,2800.0,336208.0
2900.0,8.001020298,6.895037899492868E-7,2900.0,84.82758620689656,69.87149579050961,4.139433551198259,68.16208393632417,2900.0,336200.0
3000.0,8.255230375,7.116111266930009E-7,3000.0,85.23333333333333,70.7352520203466,3.485838779956478,67.94500723589003,3000.0,336160.0
3100.0,8.474603774,7.306875355233335E-7,3100.0,85.70967741935483,71.66701052197236,3.485838779956406,67.94500723589,3100.0,336136.0
3200.0,8.693584673,7.497307195021482E-7,3200.0,86.0625,72.30845647584749,3.671706263498881,67.86743515850144,3200.0,336152.0
3300.0,8.915515386,7.690313460743139E-7,3300.0,86.0909090909091,72.32150688536095,2.9598308668076307,67.69880365939481,3300.0,336168.0
3400.0,9.138257475,7.883988475971566E-7,3400.0,86.32352941176471,72.67287302997515,2.515723270440259,67.41415557112825,3400.0,336104.0
3500.0,9.355447298,8.07282678680213E-7,3500.0,86.42857142857143,72.85467872675463,2.263374485596766,67.73097826086958,3500.0,336088.0
3600.0,9.585184023,8.272564643598452E-7,3600.0,86.47222222222221,72.90153854714407,1.2170385395536998,67.85478547854784,3600.0,336072.0
3700.0,9.806833476,8.465271258974365E-7,3700.0,86.56756756756756,73.062346407473,0.0,68.16143497757848,3700.0,336072.0
3800.0,10.029455409,8.658837190749786E-7,3800.0,86.76315789473684,73.38698448943221,2.895752895752865,68.26498422712935,3800.0,336096.0
3900.0,10.248630923,8.849397448497969E-7,3900.0,87.0,73.86662874356281,5.233644859813051,69.02871105681123,3900.0,336080.0
4000.0,10.467781887,9.03991821921712E-7,4000.0,87.325,74.38969687907895,5.233644859813087,69.02871105681123,4000.0,336048.0
4100.0,10.699790671,9.241597839396323E-7,4100.0,87.53658536585365,74.69461053542923,4.841713221601494,68.9738919247116,4100.0,336016.0
4200.0,10.922909012,9.43555844800791E-7,4200.0,87.73809523809524,75.01358484707343,5.850091407678257,69.12470023980815,4200.0,336032.0
4300.0,11.155242598,9.637530027482286E-7,4300.0,88.0232558139535,75.44214126341285,6.021897810219033,69.16167664670661,4300.0,336032.0
4400.0,11.377328258,9.830588312454149E-7,4400.0,87.8409090909091,75.02946819768344,4.12186379928317,68.6768149882904,4400.0,336024.0
4500.0,11.601106234,1.0025131615752105E-6,4500.0,87.95555555555555,75.22100446062558,3.386809269162222,68.86846639862148,4500.0,336048.0
4600.0,11.835430716,1.0228833915337216E-6,4600.0,88.17391304347825,75.53188139924315,3.202846975088932,68.86090440755581,4600.0,336032.0
4700.0,12.061377292,1.0425243804837224E-6,4700.0,88.25531914893617,75.68311568047254,2.300884955752221,69.14477361654556,4700.0,336016.0
4800.0,12.287498951,1.0621796530097682E-6,4800.0,88.16666666666667,75.44812308357311,1.5597920277296948,68.70523415977962,4800.0,336000.0
4900.0,12.528715881,1.0831455607515407E-6,4900.0,88.24489795918367,75.49673715232568,1.2006861063464982,68.54178044784273,4900.0,335976.0
5000.0,12.806651945,1.1073006930906739E-6,5000.0,88.28,75.41327102681397,0.8460236886632836,68.13485589994563,5000.0,335944.0
5100.0,13.044061221,1.1279317193395643E-6,5100.0,88.45098039215686,75.64443057799215,0.674536256323832,68.1965442764579,5100.0,335912.0
5200.0,13.262637202,1.1469252148151624E-6,5200.0,88.61538461538461,75.83163543454067,0.837520938023448,68.10344827586208,5200.0,335896.0
5300.0,13.488935825,1.1665897811248733E-6,5300.0,88.75471698113208,75.97264100137829,1.160862354892196,67.99140708915145,5300.0,335896.0
5400.0,13.719927912,1.1866621931953169E-6,5400.0,88.72222222222223,75.80021334312923,0.0,67.6751592356688,5400.0,335896.0
5500.0,13.937220162,1.2055423380574646E-6,5500.0,88.78181818181818,75.80550865825558,-0.3252032520325026,67.49209694415174,5500.0,335864.0
5600.0,14.150873928,1.2241045726705032E-6,5600.0,88.94642857142857,75.97615912398642,-0.32414910858992996,67.42105263157895,5600.0,335832.0
5700.0,14.365523147,1.2427532922188565E-6,5700.0,89.0,76.00053184416966,0.0,67.39469578783151,5700.0,335832.0
5800.0,14.582771821,1.2616278523619225E-6,5800.0,89.01724137931033,75.90327184860894,0.31298904538342215,67.14801444043322,5800.0,335832.0
5900.0,14.797533629,1.2802863536401839E-6,5900.0,89.0,75.79042911718872,-0.3091190108191605,67.0055922724962,5900.0,335832.0
6000.0,15.029195056,1.3004111756638708E-6,6000.0,89.05,75.80720589307496,0.0,66.93507800704579,6000.0,335800.0
6100.0,15.254921992,1.3200218598621112E-6,6100.0,88.9344262295082,75.56311949791841,-0.5961251862890932,66.69955599407994,6100.0,335824.0
6200.0,15.477663645,1.3393731889156233E-6,6200.0,88.70967741935483,75.02843823594904,-1.5965166908563606,66.10169491525423,6200.0,335824.0
6300.0,15.693928339,1.3581609181494247E-6,6300.0,88.6984126984127,74.96596999331958,-1.859799713877001,66.04673342870768,6300.0,335808.0
6400.0,15.910470165,1.3769718265723833E-6,6400.0,88.8125,75.13967926149918,-1.2729844413012206,66.21047663992451,6400.0,335792.0
6500.0,16.126853047,1.3957671362797816E-6,6500.0,88.92307692307693,75.38351484484515,-0.8403361344537748,66.58932714617171,6500.0,335760.0
6600.0,16.350063877,1.4151564546995262E-6,6600.0,88.80303030303031,75.10679671112064,-2.3545706371191035,66.25570776255708,6600.0,335776.0
6700.0,16.571495135,1.4343911897231208E-6,6700.0,88.82089552238806,75.11251762551309,-2.4623803009576277,66.3067926225821,6700.0,335776.0
6800.0,16.800204545,1.454258618334526E-6,6800.0,88.98529411764706,75.40563891352146,-1.353179972936396,66.60722246990638,6800.0,335784.0
6900.0,17.025411838,1.4738218265840042E-6,6900.0,89.14492753623189,75.59696101161106,-1.0796221322536914,66.63697104677063,6900.0,335784.0
7000.0,17.248011985,1.493156715641289E-6,7000.0,89.07142857142857,75.39071095156102,-2.136181575433959,66.43264589732338,7000.0,335752.0
7100.0,17.474972249,1.5128693818963757E-6,7100.0,89.21126760563381,75.596820308672,-1.8617021276595507,66.57940663176265,7100.0,335736.0
7200.0,17.697610099,1.532202938083508E-6,7200.0,89.26388888888889,75.59122940279734,-2.656042496679937,66.4642082429501,7200.0,335672.0
7300.0,17.91854127,1.5513892031595653E-6,7300.0,89.17808219178082,75.37327193348126,-4.359313077939262,66.19597774925117,7300.0,335688.0
7400.0,18.143957494,1.5709621633266953E-6,7400.0,89.32432432432432,75.53303947869219,-4.359313077939244,66.19597774925118,7400.0,335640.0
7500.0,18.364620344,1.5901205598247883E-6,7500.0,89.44,75.64161183637232,-4.3478260869565934,66.13937580162461,7500.0,335608.0
7600.0,18.594206612,1.6100518049725481E-6,7600.0,89.57894736842105,75.78980180796188,-4.34782608695644,66.13937580162464,7600.0,335576.0
7700.0,18.810544103,1.6288333218235113E-6,7700.0,89.68831168831169,75.8773966653533,-4.611330698287308,66.05386917486103,7700.0,335584.0
7800.0,19.028380949,1.6477441047367044E-6,7800.0,89.82051282051282,76.01514470963384,-4.611330698287204,66.05386917486105,7800.0,335568.0
7900.0,19.249491581,1.6669390905177184E-6,7900.0,89.94936708860759,76.14789990407596,-4.611330698287244,66.05386917486103,7900.0,335568.0
8000.0,19.464103199,1.6855689976418603E-6,8000.0,90.0,76.11443514408556,-5.401844532279244,65.79734929457034,8000.0,335552.0
8100.0,19.679150847,1.7042367554587047E-6,8100.0,90.12345679012346,76.2390405324567,-5.401844532279275,65.79734929457034,8100.0,335552.0
8200.0,19.893743574,1.7228654668238991E-6,8200.0,90.2439024390244,76.35936021221222,-5.401844532279322,65.79734929457034,8200.0,335560.0
8300.0,20.110543092,1.7416839541014392E-6,8300.0,90.36144578313254,76.4756115508432,-5.401844532279249,65.79734929457034,8300.0,335528.0
8400.0,20.317525516,1.7596503045280965E-6,8400.0,90.45238095238095,76.53555281015734,-5.6653491436100945,65.71184266780675,8400.0,335528.0
8500.0,20.516089377,1.7768859124596958E-6,8500.0,90.54117647058824,76.59245463221073,-5.928853754940663,65.62633604104317,8500.0,335528.0
8600.0,20.721068078,1.7946783370578685E-6,8600.0,90.65116279069767,76.69825486967852,-5.928853754940773,65.62633604104317,8600.0,335528.0
8700.0,20.933084202,1.8130824969368327E-6,8700.0,90.75862068965517,76.8007032887958,-5.928853754940788,65.62633604104316,8700.0,335544.0
8800.0,21.143598291,1.8313554005951768E-6,8800.0,90.86363636363637,76.9362640672588,-5.373525557011776,65.71428571428574,8800.0,335528.0
8900.0,21.350828957,1.8493432987584796E-6,8900.0,90.96629213483146,77.06891394471916,-5.098039215686269,65.80178647384092,8900.0,335528.0
9000.0,21.557840744,1.8673121979326942E-6,9000.0,91.04444444444444,77.11195246404313,-5.359477124183115,65.71671629094,9000.0,335528.0
9100.0,21.769064863,1.885647170292551E-6,9100.0,91.12087912087912,77.15272518259518,-5.620915032679743,65.63164610803912,9100.0,335536.0
9200.0,21.980410508,1.9039926915227809E-6,9200.0,91.13043478260869,77.04134386918066,-6.6666666666666305,65.29136537643555,9200.0,335536.0
9300.0,22.186373103,1.9218709456936003E-6,9300.0,91.0,76.72407111578059,-7.583547557840624,64.86146095717885,9300.0,335536.0
