learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.877641292,1.3809508778191275E-7,100.0,78.0,50.980392156862756,67.16417910447761,33.33333333333333,100.0,608224.0
200.0,1.29350568,2.0359334005946087E-7,200.0,82.5,59.368469932667736,73.88059701492537,46.96969696969695,200.0,608808.0
300.0,1.732087669,2.72705900925342E-7,300.0,84.66666666666667,64.0625,77.0,53.535353535353536,300.0,609128.0
400.0,1.994991758,3.142436350016172E-7,400.0,68.75,33.001018384520556,53.00751879699247,24.24242424242424,400.0,610728.0
500.0,2.246880529,3.5404829377074003E-7,500.0,62.4,23.191318984818025,43.54354354354354,18.965517241379303,500.0,610840.0
600.0,2.424475553,3.8211306967754127E-7,600.0,60.333333333333336,20.66666666666668,40.35087719298246,20.401337792642146,600.0,610848.0
700.0,2.563305958,4.0405170900578717E-7,700.0,60.42857142857143,20.242521965184775,40.43010752688173,16.566265060240976,700.0,610840.0
800.0,2.698772454,4.2545484240130005E-7,800.0,61.625,22.158269733005397,42.293233082706756,15.890410958904111,800.0,610728.0
900.0,2.863310564,4.5145116784678565E-7,900.0,64.33333333333333,27.210884353741495,46.32107023411371,19.3467336683417,900.0,610728.0
1000.0,3.014562959,4.7535091077844096E-7,1000.0,60.0,19.030962559917086,39.75903614457831,13.79310344827585,1000.0,610792.0
1100.0,3.135813604,4.945130186642458E-7,1100.0,58.81818181818181,17.245708667694085,38.03009575923392,14.689265536723164,1100.0,610888.0
1200.0,3.25935213,5.140366967714039E-7,1200.0,59.66666666666667,19.333333333333336,39.27227101631117,19.063545150501668,1200.0,610888.0
1300.0,3.381187929,5.332925414953215E-7,1300.0,58.53846153846154,16.79016919846857,37.54345307068366,14.580031695721086,1300.0,610928.0
1400.0,3.540767936,5.585137643301114E-7,1400.0,58.64285714285714,16.679686536358318,37.74193548387096,12.801204819277109,1400.0,610928.0
1500.0,3.662308046,5.777223730634773E-7,1500.0,60.0,19.166516975031428,39.75903614457831,13.916786226685792,1500.0,610912.0
