learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,6.800081425,3.230117278991076E-5,100.0,52.0,4.0000000000000036,51.515151515151516,4.0000000000000036,100.0,1.8361432E7
200.0,13.797676067,6.557376401766949E-5,200.0,55.00000000000001,10.000000000000009,54.773869346733676,10.000000000000009,200.0,1.8379776E7
300.0,20.822624772,9.899527693775636E-5,300.0,58.333333333333336,16.666666666666675,58.19397993311037,16.666666666666675,300.0,1.8390152E7
400.0,27.916267335,1.3276574302429375E-4,400.0,61.25000000000001,22.500000000000007,61.15288220551379,22.500000000000007,400.0,1.8402216E7
500.0,35.206054801,1.6749593918356383E-4,500.0,63.0,26.0,62.925851703406806,26.0,500.0,1.8415976E7
600.0,42.759160724,2.034938061274882E-4,600.0,63.66666666666667,27.333333333333343,63.60601001669449,27.333333333333343,600.0,1.8422712E7
700.0,50.321592687,2.3955316490072522E-4,700.0,65.0,30.000000000000004,64.94992846924178,30.000000000000004,700.0,1.8431424E7
800.0,58.037639206,2.7637327347421946E-4,800.0,65.5,31.000000000000007,65.45682102628285,31.000000000000007,800.0,1.8445592E7
900.0,65.93984479,3.140956135090984E-4,900.0,66.22222222222223,32.44444444444446,66.18464961067853,32.44444444444446,900.0,1.8452392E7
1000.0,73.791010354,3.515959499297377E-4,1000.0,66.8,33.60000000000001,66.76676676676678,33.60000000000001,1000.0,1.8463048E7
1100.0,81.894072271,3.903111673585326E-4,1100.0,67.0,34.00000000000001,66.96997270245679,34.00000000000001,1100.0,1.846864E7
1200.0,90.000352293,4.2904989716121606E-4,1200.0,68.0,36.00000000000001,67.97331109257715,36.00000000000001,1200.0,1.847252E7
1300.0,98.256349484,4.685213610016695E-4,1300.0,68.0,36.00000000000001,67.97536566589685,36.00000000000001,1300.0,1.84806E7
1400.0,106.493000849,5.079084136211876E-4,1400.0,68.0,36.00000000000001,67.97712651894211,36.00000000000001,1400.0,1.8484392E7
1500.0,115.107854286,5.491100088373807E-4,1500.0,68.46666666666667,36.93333333333333,68.44563042028018,36.93333333333333,1500.0,1.8487088E7
1600.0,123.620959382,5.89835674703195E-4,1600.0,69.25,38.5,69.23076923076923,38.5,1600.0,1.8491944E7
1700.0,132.264147986,6.311922484735234E-4,1700.0,69.6470588235294,39.29411764705881,69.6291936433196,39.29411764705881,1700.0,1.8495792E7
1800.0,140.768119544,6.718865053054433E-4,1800.0,69.66666666666667,39.33333333333333,69.64980544747081,39.33333333333333,1800.0,1.8497528E7
1900.0,149.435895172,7.133764572988761E-4,1900.0,70.15789473684211,40.31578947368422,70.14218009478674,40.31578947368422,1900.0,1.8502808E7
2000.0,158.112168093,7.549151276927759E-4,2000.0,70.5,40.99999999999999,70.48524262131065,40.99999999999999,2000.0,1.8506392E7
2100.0,166.849110599,7.967517467726853E-4,2100.0,71.0,41.99999999999999,70.98618389709385,41.99999999999999,2100.0,1.8509704E7
2200.0,175.733291918,8.393016339090906E-4,2200.0,71.22727272727273,42.45454545454545,71.21418826739428,42.45454545454545,2200.0,1.851328E7
2300.0,184.58136984,8.816821783264634E-4,2300.0,71.3913043478261,42.78260869565218,71.37886037407569,42.78260869565218,2300.0,1.851484E7
2400.0,193.583610885,9.248106354882349E-4,2400.0,71.58333333333333,43.166666666666664,71.57148812005002,43.166666666666664,2400.0,1.851892E7
2500.0,202.442112235,9.672590729985049E-4,2500.0,72.04,44.080000000000005,72.02881152460985,44.080000000000005,2500.0,1.852268E7
2600.0,211.547811589,0.0010108979965449893,2600.0,72.34615384615385,44.6923076923077,72.33551365909966,44.6923076923077,2600.0,1.8525208E7
2700.0,220.498327702,0.0010537956890265495,2700.0,72.5925925925926,45.1851851851852,72.58243793997778,45.1851851851852,2700.0,1.852628E7
2800.0,229.591638273,0.001097388281482146,2800.0,73.0,46.0,72.9903536977492,46.0,2800.0,1.8530752E7
2900.0,238.618055835,0.0011406647898414956,2900.0,73.17241379310346,46.344827586206904,73.16315971024491,46.344827586206904,2900.0,1.853272E7
3000.0,247.996831001,0.001185638997792304,3000.0,73.26666666666667,46.53333333333334,73.25775258419473,46.53333333333334,3000.0,1.853616E7
3100.0,257.244365895,0.001230009302324591,3100.0,72.90322580645162,45.80645161290322,72.61167264427779,45.241199478487616,3100.0,1.8546792E7
3200.0,266.73926559,0.0012755823381944572,3200.0,72.90625,45.812499999999986,72.32684328120013,44.671346522016584,3200.0,1.8553248E7
3300.0,276.096808078,0.001320502370107219,3300.0,72.9090909090909,45.81818181818183,72.0625,44.12500000000001,3300.0,1.855584E7
3400.0,285.655358032,0.0013663943428471673,3400.0,73.02941176470588,46.058823529411775,71.93143556779921,43.88004895960833,3400.0,1.855868E7
3500.0,295.111837039,0.0014118067288768623,3500.0,73.28571428571429,46.57142857142858,71.94719471947195,43.911217756448714,3500.0,1.856296E7
3600.0,304.725301878,0.0014579783523256252,3600.0,73.52777777777779,47.055555555555564,71.97058823529412,43.94117647058824,3600.0,1.8565112E7
3700.0,314.152273469,0.0015032604887736272,3700.0,73.62162162162163,47.24324324324325,71.84886068647246,43.71395617070358,3700.0,1.8567656E7
3800.0,323.587925412,0.0015485965260458707,3800.0,73.55263157894737,47.10526315789474,71.55392018114917,43.1239388794567,3800.0,1.8572656E7
3900.0,333.095899742,0.0015942883983555694,3900.0,73.33333333333333,46.66666666666666,71.11111111111109,42.222222222222214,3900.0,1.8576048E7
4000.0,342.527941147,0.001639619034472851,4000.0,73.5,47.0,71.09353695118625,42.20283533260633,4000.0,1.8577552E7
4100.0,351.98656921,0.0016850833585999167,4100.0,73.6829268292683,47.36585365853658,71.09563353870881,42.20674879485805,4100.0,1.8579968E7
4200.0,361.518026847,0.0017309034105374749,4200.0,73.83333333333333,47.66666666666666,71.07894736842105,42.15789473684209,4200.0,1.8582264E7
4300.0,371.242024843,0.0017776535389902363,4300.0,73.83720930232558,47.67441860465116,70.90768037238169,41.830403309203724,4300.0,1.8584048E7
4400.0,380.953109728,0.0018243460467771376,4400.0,73.9090909090909,47.81818181818183,70.81108568522758,41.637010676156585,4400.0,1.8585824E7
4500.0,390.813310939,0.0018717604282218396,4500.0,74.06666666666666,48.13333333333334,70.82500000000002,41.650000000000006,4500.0,1.8587744E7
4600.0,400.608024919,0.001918873323195531,4600.0,74.10869565217392,48.217391304347835,70.70110701107014,41.90243902439025,4600.0,1.859304E7
4700.0,410.522102787,0.0019665674822056975,4700.0,74.1063829787234,48.201791959545986,70.54695062923524,42.02000952834683,4700.0,1.8595816E7
4800.0,420.36832893,0.0020139446380152163,4800.0,74.14583333333333,48.280981661141794,70.43830395426394,42.252210330386234,4800.0,1.8599512E7
4900.0,430.379480351,0.0020621218717574237,4900.0,74.16326530612245,48.3265306122449,70.31652989449003,42.45454545454546,4900.0,1.8602024E7
5000.0,440.328428437,0.0021100054849816346,5000.0,74.33999999999999,48.66988180710181,70.3831948291782,42.952423299244096,5000.0,1.8604248E7
5100.0,450.365850569,0.0021583222923909876,5100.0,74.37254901960785,48.73521168096085,70.28194633924512,43.14919530230536,5100.0,1.8607088E7
5200.0,460.415485177,0.0022067015471782243,5200.0,74.3076923076923,48.61538461538461,70.0783874580067,43.14893617021276,5200.0,1.8608496E7
5300.0,470.588666278,0.0022556864859122196,5300.0,74.43396226415095,48.85847181152174,70.10150044130626,43.518132555231354,5300.0,1.8612648E7
5400.0,480.662629234,0.002304198036293981,5400.0,74.55555555555556,49.101929909167424,70.1174423662462,43.895467537770514,5400.0,1.861432E7
5500.0,490.793830956,0.002352991722076405,5500.0,74.72727272727273,49.45454545454546,70.20364415862808,44.40000000000001,5500.0,1.86168E7
5600.0,501.022416284,0.002402259103162826,5600.0,74.98214285714285,49.95571946116285,70.39306846999153,45.037269517457815,5600.0,1.8618568E7
5700.0,511.20329608,0.0024513003702763604,5700.0,75.12280701754386,50.23730034060476,70.4460191746561,45.44055405925356,5700.0,1.861996E7
5800.0,521.532407335,0.0025010641973764397,5800.0,75.22413793103449,50.44827586206897,70.46248715313463,45.77358490566038,5800.0,1.8623152E7
5900.0,531.811384442,0.0025505942305666354,5900.0,75.20338983050847,50.39880015170495,70.33657745336576,45.79473879214523,5900.0,1.8626064E7
5995.0,541.728480535,0.0025983885581555206,5995.0,75.29608006672227,50.58826796549558,70.35035035035035,46.08663997087733,5995.0,1.86292E7
