learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,6.356051197,3.986295730174274E-5,100.0,100.0,?,?,?,100.0,2.4242896E7
200.0,13.334237508,8.654707049808103E-5,200.0,99.0,82.81786941580755,50.0,66.66666666666666,200.0,2.5860024E7
300.0,20.26638762,1.329483224920229E-4,300.0,98.33333333333333,65.84699453551899,-25.00000000000063,16.666666666666483,300.0,2.5874032E7
400.0,27.15655878,1.7908067531615602E-4,400.0,97.75,51.638903815153256,-124.99999999999945,-49.99999999999963,400.0,2.5880816E7
500.0,34.057239868,2.2529282207574606E-4,500.0,96.39999999999999,34.21052631578954,-200.0,-125.0,500.0,2.5886096E7
600.0,40.957278781,2.7151212119764026E-4,600.0,96.0,35.25179856115106,-200.00000000000085,-139.99999999999946,600.0,2.5892512E7
700.0,47.857200009,3.1775643618741815E-4,700.0,96.14285714285714,55.314923397011505,-125.00000000000033,-22.727272727272616,700.0,2.5906968E7
800.0,54.758797573,3.640934883750489E-4,800.0,93.625,74.91577109411506,-292.3076923076925,58.19672131147542,800.0,2.5952616E7
900.0,61.704218062,4.107560875026627E-4,900.0,92.11111111111111,76.29329534324637,-153.57142857142878,64.6766169154229,900.0,2.5970048E7
1000.0,68.671773776,4.5758467674679194E-4,1000.0,91.8,77.61703289204314,-28.12500000000005,68.0933852140078,1000.0,2.5979632E7
1100.0,75.661520801,5.045801335438213E-4,1100.0,87.18181818181819,66.61644425312096,-46.87499999999998,56.61538461538461,1100.0,2.5989432E7
1200.0,82.62046849,5.51381574344272E-4,1200.0,86.0,63.3357218461628,-43.589743589743556,53.2033426183844,1200.0,2.5996688E7
1300.0,89.538745436,5.97918123501927E-4,1300.0,82.92307692307692,56.3775533339581,-77.60000000000004,47.016706443914074,1300.0,2.6001512E7
1400.0,96.471673034,6.44570755655501E-4,1400.0,80.85714285714286,52.3973854086314,-84.82758620689658,43.93305439330545,1400.0,2.6011288E7
1500.0,103.633695844,6.927747397150414E-4,1500.0,78.73333333333333,48.10420372218124,-78.21229050279335,40.373831775700936,1500.0,2.6016544E7
1600.0,110.73840064,7.406010615386995E-4,1600.0,76.6875,44.06726923062502,-67.26457399103137,37.20538720538719,1600.0,2.602096E7
1700.0,117.91477087,7.889162403606229E-4,1700.0,75.0,41.21657684396886,-77.08333333333327,34.91577335375192,1700.0,2.6024424E7
1800.0,125.180641498,8.378549010776144E-4,1800.0,74.66666666666667,40.830449826989614,-60.5633802816901,34.85714285714286,1800.0,2.6035552E7
1900.0,132.407116659,8.865345732195027E-4,1900.0,74.0,40.814895527507886,-63.57615894039738,35.67708333333333,1900.0,2.6038952E7
2000.0,139.567585276,9.347759632755475E-4,2000.0,74.0,40.84455769930834,-55.68862275449099,35.64356435643565,2000.0,2.6042384E7
2100.0,146.726422454,9.830167035752263E-4,2100.0,73.38095238095238,40.95901985635826,-50.67385444743938,36.62131519274377,2100.0,2.6047968E7
2200.0,153.939665354,0.001031628467721622,2200.0,72.81818181818181,40.9597407901055,-50.25125628140705,37.38219895287958,2200.0,2.6050328E7
2300.0,161.201144528,0.0010805677121659002,2300.0,72.65217391304348,41.23739814942689,-54.5454545454545,38.02955665024631,2300.0,2.6051608E7
2400.0,168.512501608,0.0011298537346319762,2400.0,72.45833333333334,41.122502605396065,-53.36426914153133,38.10861423220974,2400.0,2.6057224E7
2500.0,175.946908304,0.0011799766227456807,2500.0,73.0,42.51820342049901,-47.05882352941179,39.624329159212884,2500.0,2.6061064E7
