learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.60698489,4.880412373381357E-8,100.0,100.0,?,?,?,100.0,310800.0
200.0,0.903805881,7.429091688679945E-8,200.0,97.5,53.271028037383125,-25.0,16.666666666666664,200.0,331912.0
300.0,1.106137848,9.167479630588036E-8,300.0,96.33333333333334,33.57487922705311,-175.0000000000002,-83.33333333333296,300.0,332112.0
400.0,1.258530582,1.0476959304901254E-7,400.0,96.5,28.49846782431053,-250.0,-133.33333333333331,400.0,332152.0
500.0,1.39530458,1.1651777457875716E-7,500.0,95.19999999999999,18.077553249590284,-300.0,-200.0,500.0,332024.0
600.0,1.507496329,1.261588792710979E-7,600.0,95.16666666666667,23.751095530236817,-262.5000000000007,-189.99999999999912,600.0,332176.0
700.0,1.601265312,1.342350809743483E-7,700.0,94.28571428571428,32.75696445725267,-233.33333333333374,-81.81818181818163,700.0,332928.0
800.0,1.66645787,1.3986379414222928E-7,800.0,94.0,77.54280902030503,-269.23076923076985,60.65573770491799,800.0,333744.0
900.0,1.737208648,1.4597430651789117E-7,900.0,93.66666666666667,81.96735141519382,-103.57142857142878,71.64179104477611,900.0,333848.0
1000.0,1.816536327,1.5282607020050907E-7,1000.0,93.0,81.7635197448977,-9.375000000000016,72.76264591439691,1000.0,333872.0
1100.0,1.928872004,1.6253231858297353E-7,1100.0,88.9090909090909,72.42371314086097,-27.083333333333375,62.46153846153844,1100.0,333992.0
1200.0,2.030149057,1.712849443893838E-7,1200.0,88.25,70.79011697764027,-20.51282051282052,60.724233983286894,1200.0,334064.0
1300.0,2.156821089,1.822343674883453E-7,1300.0,87.0,68.81706389308383,-35.20000000000002,59.665871121718375,1300.0,334128.0
1400.0,2.294371938,1.9412927047806064E-7,1400.0,86.57142857142858,68.82019011154603,-29.655172413793096,60.66945606694563,1400.0,334272.0
1500.0,2.419518033,2.0494705187895848E-7,1500.0,84.73333333333333,65.09004431074436,-27.93296089385475,57.19626168224301,1500.0,334136.0
1600.0,2.536889893,2.1509403347242825E-7,1600.0,83.125,61.909867460446236,-21.076233183856445,54.545454545454554,1600.0,334176.0
