learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.5265968,9.04900586936209E-9,100.0,78.0,40.119760479041915,66.66666666666667,33.33333333333333,100.0,66424.0
200.0,0.645981272,1.1104948450111681E-8,200.0,82.5,54.87364620938627,73.68421052631578,47.76119402985073,200.0,66568.0
300.0,0.729004871,1.2535400861640358E-8,300.0,87.0,67.76859504132233,80.49999999999999,61.0,300.0,66600.0
400.0,0.786431918,1.352899810611167E-8,400.0,72.5,39.892352667959884,58.80149812734082,34.1317365269461,400.0,66880.0
500.0,0.842806301,1.4505432313999369E-8,500.0,67.2,32.47138268961543,50.89820359281438,29.613733905579405,500.0,66952.0
600.0,0.899299594,1.5484510700354974E-8,600.0,66.33333333333333,32.666666666666664,49.62593516209476,32.666666666666664,600.0,66992.0
700.0,0.949087002,1.6347679330723153E-8,700.0,65.85714285714286,30.870053882516284,48.93162393162393,28.228228228228236,700.0,67016.0
800.0,0.99351567,1.7117943018815583E-8,800.0,68.625,35.766199201555956,53.084112149532714,31.607629427792922,800.0,67016.0
900.0,1.036281508,1.785937807831913E-8,900.0,69.88888888888889,37.509607993850885,54.98338870431893,32.24999999999999,900.0,67016.0
1000.0,1.076596343,1.8558486756887286E-8,1000.0,66.0,30.448443886213646,49.17787742899851,27.194860813704498,1000.0,67032.0
1100.0,1.122264804,1.935043387565762E-8,1100.0,64.9090909090909,29.217525247305225,47.55434782608695,27.57973733583488,1100.0,67032.0
1200.0,1.166532224,2.0118176841441956E-8,1200.0,64.5,29.000000000000004,46.94894146948942,29.000000000000004,1200.0,67040.0
1300.0,1.210376902,2.0878588067611886E-8,1300.0,65.6923076923077,30.93162492941874,48.735632183908045,29.54186413902054,1300.0,67040.0
1400.0,1.255089318,2.1654141267790563E-8,1400.0,66.85714285714286,32.83219422414775,50.480256136606194,30.434782608695656,1400.0,67048.0
1500.0,1.302385608,2.2474512707036405E-8,1500.0,67.93333333333334,34.5578231292517,52.091633466135455,31.28571428571429,1500.0,67048.0
