learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.066708314,8.973894040617678E-10,100.0,87.0,74.0,86.86868686868688,74.0,100.0,52000.0
200.0,0.131709632,1.7718155516518487E-9,200.0,85.0,70.0,84.92462311557789,70.0,200.0,52000.0
300.0,0.150670231,2.026881818763084E-9,300.0,84.33333333333334,68.66666666666667,84.28093645484951,68.66666666666667,300.0,52000.0
400.0,0.168021274,2.2602956348823177E-9,400.0,84.5,69.0,84.46115288220551,69.0,400.0,52000.0
500.0,0.196961394,2.649610781421264E-9,500.0,83.8,67.6,83.76753507014027,67.6,500.0,52000.0
600.0,0.222065616,2.9873237510522204E-9,600.0,82.66666666666667,65.33333333333333,82.63772954924875,65.33333333333333,600.0,52000.0
700.0,0.243549508,3.276334458755122E-9,700.0,82.71428571428572,65.42857142857143,82.689556509299,65.42857142857143,700.0,52000.0
800.0,0.260199418,3.5003163272307976E-9,800.0,82.875,65.75,82.85356695869838,65.75,800.0,52000.0
900.0,0.27435079,3.690686770197418E-9,900.0,82.11111111111111,64.22222222222223,82.09121245828699,64.22222222222223,900.0,52000.0
1000.0,0.289690345,3.897041170340445E-9,1000.0,82.0,63.99999999999999,81.98198198198197,63.99999999999999,1000.0,52000.0
1100.0,0.305787924,4.113592840731143E-9,1100.0,82.0909090909091,64.18181818181819,82.07461328480437,64.18181818181819,1100.0,52000.0
1200.0,0.321894101,4.330260175176792E-9,1200.0,81.83333333333334,63.66666666666667,81.81818181818183,63.66666666666667,1200.0,52000.0
1300.0,0.334924801,4.505554848454064E-9,1300.0,81.92307692307692,63.84615384615384,81.90916089299462,63.84615384615384,1300.0,52000.0
1400.0,0.343623168,4.6225690841674796E-9,1400.0,79.92857142857143,59.857142857142854,79.91422444603288,59.857142857142854,1400.0,52000.0
1500.0,0.351677422,4.7309184302058475E-9,1500.0,78.66666666666666,57.33333333333333,78.65243495663775,57.33333333333333,1500.0,52000.0
1600.0,0.35985426,4.840916829804578E-9,1600.0,77.75,55.49999999999999,77.73608505315822,55.49999999999999,1600.0,52000.0
1700.0,0.369868926,4.975638495137293E-9,1700.0,76.41176470588236,52.82352941176471,76.39788110653326,52.82352941176471,1700.0,52000.0
1800.0,0.379712376,5.1080568879842744E-9,1800.0,75.77777777777777,51.55555555555556,75.76431350750417,51.55555555555556,1800.0,52000.0
1900.0,0.387891454,5.218085421042308E-9,1900.0,75.26315789473685,50.526315789473685,75.25013164823592,50.526315789473685,1900.0,52000.0
2000.0,0.396204838,5.3299206971294334E-9,2000.0,74.8,49.6,74.78739369684843,49.6,2000.0,52000.0
2100.0,0.404326784,5.4391806655459915E-9,2100.0,74.71428571428571,49.42857142857142,74.70223916150547,49.42857142857142,2100.0,52000.0
2200.0,0.416971859,5.6092877427322975E-9,2200.0,74.81818181818181,49.63636363636363,74.80673033196908,49.63636363636363,2200.0,52000.0
2300.0,0.429110033,5.7725757660551185E-9,2300.0,75.17391304347825,50.347826086956516,75.16311439756416,50.347826086956516,2300.0,52000.0
2400.0,0.442337116,5.950512269304857E-9,2400.0,75.16666666666667,50.33333333333334,75.15631513130472,50.33333333333334,2400.0,52000.0
2500.0,0.453299793,6.0979869930694484E-9,2500.0,75.24,50.47999999999999,75.23009203681472,50.47999999999999,2500.0,52000.0
2600.0,0.462513506,6.2219338884784095E-9,2600.0,75.3076923076923,50.61538461538462,75.29819161215853,50.61538461538462,2600.0,52000.0
2700.0,0.470575376,6.330385688278408E-9,2700.0,75.33333333333333,50.66666666666666,75.32419414597999,50.66666666666666,2700.0,52000.0
2800.0,0.479309443,6.447880175999467E-9,2800.0,75.28571428571429,50.57142857142858,75.27688460164345,50.57142857142858,2800.0,52000.0
2900.0,0.487364599,6.556241656136179E-9,2900.0,75.3103448275862,50.62068965517241,75.30182821662642,50.62068965517241,2900.0,52000.0
3000.0,0.497110695,6.687350400413073E-9,3000.0,75.3,50.6,75.29176392130711,50.6,3000.0,52000.0
3100.0,0.50490618,6.792218672732509E-9,3100.0,75.32258064516128,50.64516129032257,75.31461761858664,50.64516129032257,3100.0,52000.0
3200.0,0.51972476,6.991564689411054E-9,3200.0,75.3125,50.62500000000001,75.30478274460769,50.62500000000001,3200.0,52000.0
3300.0,0.540463876,7.270556344754163E-9,3300.0,75.45454545454545,50.90909090909091,75.44710518338891,50.90909090909091,3300.0,52000.0
3400.0,0.553885851,7.451114620392519E-9,3400.0,75.55882352941177,51.117647058823536,75.55163283318623,51.117647058823536,3400.0,52000.0
3500.0,0.56326017,7.57722205792864E-9,3500.0,75.57142857142857,51.14285714285713,75.56444698485281,51.14285714285713,3500.0,52000.0
3600.0,0.573118943,7.709846582470666E-9,3600.0,75.63888888888889,51.27777777777778,75.6321200333426,51.27777777777778,3600.0,52000.0
3700.0,0.580845088,7.813782062795424E-9,3700.0,74.97297297297297,49.607532366372155,74.28492085531798,49.008810572687224,3700.0,52000.0
3800.0,0.590474926,7.943326853629612E-9,3800.0,74.23684210526315,48.62828319428733,72.81310747014717,48.03609341825902,3800.0,52000.0
3900.0,0.598202069,8.047275759486685E-9,3900.0,73.7948717948718,47.87573139144779,71.6426193118757,46.7430953621678,3900.0,52000.0
4000.0,0.608341794,8.183679773161805E-9,4000.0,73.475,47.41130800616987,70.57681641708264,45.56182657773217,4000.0,52000.0
4100.0,0.617768694,8.310494553297755E-9,4100.0,73.5609756097561,47.13094619237892,69.9389905712701,47.096144460712544,4100.0,52000.0
4200.0,0.627514951,8.441605463417036E-9,4200.0,73.16666666666667,46.64215547024433,68.7551982256723,45.370819195346584,4200.0,52000.0
