learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,5.420692223,2.5515296518887835E-5,100.0,52.0,4.0000000000000036,51.515151515151516,4.0000000000000036,100.0,1.819484E7
200.0,10.632764182,5.007345598371945E-5,200.0,56.00000000000001,12.00000000000001,55.77889447236182,12.00000000000001,200.0,1.8213264E7
300.0,15.845349106,7.464802445931693E-5,300.0,60.0,19.999999999999996,59.86622073578596,19.999999999999996,300.0,1.822364E7
400.0,20.991786692,9.892682653623344E-5,400.0,63.74999999999999,27.499999999999993,63.65914786967418,27.499999999999993,400.0,1.823572E7
500.0,26.183415373,1.234374315324907E-4,500.0,66.4,32.800000000000004,66.33266533066133,32.800000000000004,500.0,1.8249576E7
600.0,31.230427667,1.4727641148854582E-4,600.0,67.66666666666666,35.33333333333333,67.6126878130217,35.33333333333333,600.0,1.8258104E7
700.0,36.405901477,1.7173142976567617E-4,700.0,69.14285714285714,38.28571428571428,69.09871244635193,38.28571428571428,700.0,1.8265024E7
800.0,41.607321294,1.9632815513707908E-4,800.0,70.125,40.25000000000001,70.08760951188987,40.25000000000001,800.0,1.8279224E7
900.0,46.672084076,2.202875598706178E-4,900.0,70.55555555555556,41.11111111111112,70.52280311457176,41.11111111111112,900.0,1.8286024E7
1000.0,51.828385092,2.4469427453970396E-4,1000.0,71.1,42.199999999999996,71.07107107107107,42.199999999999996,1000.0,1.8296728E7
1100.0,57.003155863,2.6919592103963504E-4,1100.0,72.0909090909091,44.18181818181819,72.06551410373066,44.18181818181819,1100.0,1.8302336E7
1200.0,62.053885395,2.931171840322908E-4,1200.0,72.08333333333333,44.166666666666664,72.06005004170142,44.166666666666664,1200.0,1.830764E7
1300.0,67.237338114,3.176760188850082E-4,1300.0,72.07692307692307,44.153846153846146,72.0554272517321,44.153846153846146,1300.0,1.8314328E7
1400.0,72.420161946,3.422369584297776E-4,1400.0,72.57142857142857,45.14285714285715,72.5518227305218,45.14285714285715,1400.0,1.831812E7
1500.0,77.581617282,3.6670239227292616E-4,1500.0,73.13333333333333,46.26666666666666,73.11541027351566,46.26666666666666,1500.0,1.8322432E7
1600.0,82.652703225,3.9074372335510214E-4,1600.0,73.625,47.24999999999999,73.60850531582238,47.24999999999999,1600.0,1.8325672E7
1700.0,87.809892265,4.151983914294467E-4,1700.0,74.1764705882353,48.3529411764706,74.16127133608005,48.3529411764706,1700.0,1.832952E7
1800.0,92.977831457,4.3970851667377264E-4,1800.0,74.27777777777777,48.55555555555555,74.26347971095053,48.55555555555555,1800.0,1.8332872E7
1900.0,98.0346535,4.6369643686208225E-4,1900.0,74.57894736842105,49.15789473684211,74.565560821485,49.15789473684211,1900.0,1.8336536E7
2000.0,103.215428363,4.882771953578557E-4,2000.0,75.0,50.0,74.98749374687344,50.0,2000.0,1.8340152E7
2100.0,108.377674863,5.127744670884917E-4,2100.0,75.38095238095238,50.761904761904766,75.3692234397332,50.761904761904766,2100.0,1.8343464E7
2200.0,113.454964981,5.368732781611385E-4,2200.0,75.81818181818181,51.63636363636363,75.80718508412915,51.63636363636363,2200.0,1.834704E7
2300.0,118.664649695,5.616047232573356E-4,2300.0,76.26086956521739,52.52173913043479,76.25054371465855,52.52173913043479,2300.0,1.8350184E7
2400.0,123.87456916,5.863421133154751E-4,2400.0,76.41666666666667,52.83333333333333,76.40683618174239,52.83333333333333,2400.0,1.8353768E7
2500.0,129.103883931,6.111752529097696E-4,2500.0,76.64,53.279999999999994,76.63065226090437,53.279999999999994,2500.0,1.8356472E7
2600.0,134.21952736,6.354719319556222E-4,2600.0,76.92307692307693,53.846153846153854,76.91419776837245,53.846153846153854,2600.0,1.8359E7
2700.0,139.447939938,6.60307755751201E-4,2700.0,77.0,54.0,76.99147832530568,54.0,2700.0,1.8361624E7
2800.0,144.697960679,6.85250231251529E-4,2800.0,77.25,54.49999999999999,77.24187209717755,54.49999999999999,2800.0,1.8364576E7
