learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.50219704,8.579833154049185E-9,100.0,74.0,26.512153759185956,60.60606060606061,21.2121212121212,100.0,66040.0
200.0,0.621466868,1.0621953035899335E-8,200.0,79.5,46.222455403987404,69.17293233082707,38.80597014925374,200.0,66184.0
300.0,0.690425232,1.1803218538297548E-8,300.0,85.0,62.395543175487454,77.49999999999999,54.99999999999999,300.0,66216.0
400.0,0.752063005,1.2863546196470658E-8,400.0,69.25,31.111733408008956,53.93258426966292,26.347305389221553,400.0,66496.0
500.0,0.803633073,1.3751644094942345E-8,500.0,60.6,17.379634289548726,41.01796407185629,15.450643776824025,500.0,66568.0
600.0,0.852574691,1.4594983407904706E-8,600.0,55.166666666666664,10.333333333333329,32.917705735660846,10.333333333333329,600.0,66608.0
700.0,0.899221147,1.5399063170717824E-8,700.0,57.57142857142858,11.991804527829053,36.53846153846154,10.810810810810823,700.0,66632.0
800.0,0.942915576,1.615225664176254E-8,800.0,60.12499999999999,15.101997365234379,40.37383177570093,13.07901907356947,800.0,66632.0
900.0,0.987548594,1.692162927163765E-8,900.0,62.44444444444445,18.313641245972082,43.85382059800665,15.5,900.0,66632.0
1000.0,1.031432002,1.7678261957398308E-8,1000.0,58.4,12.636977239412472,37.81763826606875,10.920770877944312,1000.0,66648.0
1100.0,1.075083417,1.8430894646470746E-8,1100.0,55.36363636363636,8.674332093337817,33.28804347826086,7.879924953095667,1100.0,66648.0
1200.0,1.117761857,1.9166839739771352E-8,1200.0,52.916666666666664,5.833333333333335,29.638854296388544,5.833333333333335,1200.0,66656.0
1300.0,1.160770609,1.9908480718293124E-8,1300.0,55.07692307692308,8.403209265850284,32.87356321839081,7.740916271721959,1300.0,66656.0
1400.0,1.202601018,2.0629888975754795E-8,1400.0,56.714285714285715,10.330584626831914,35.32550693703308,9.145427286356826,1400.0,66664.0
1500.0,1.24413345,2.1346158314581133E-8,1500.0,58.333333333333336,12.42410088743578,37.74900398406375,10.714285714285724,1500.0,66664.0
